"date","geography","geography code","Population: All usual residents aged 16 to 74; measures: Value"
"2011","E00088544","E00088544",85
"2011","E00088545","E00088545",169
"2011","E00088546","E00088546",154
"2011","E00088547","E00088547",49
"2011","E00088552","E00088552",74
"2011","E00088548","E00088548",67
"2011","E00088549","E00088549",122
"2011","E00088550","E00088550",38
"2011","E00088551","E00088551",99
"2011","E00088563","E00088563",44
"2011","E00088564","E00088564",154
"2011","E00088565","E00088565",169
"2011","E00088567","E00088567",19
"2011","E00088569","E00088569",20
"2011","E00088561","E00088561",70
"2011","E00088562","E00088562",96
"2011","E00088568","E00088568",1021
"2011","E00173749","E00173749",33
"2011","E00173750","E00173750",319
"2011","E00173751","E00173751",21
"2011","E00088187","E00088187",78
"2011","E00088188","E00088188",49
"2011","E00088189","E00088189",70
"2011","E00088190","E00088190",61
"2011","E00088191","E00088191",64
"2011","E00088184","E00088184",27
"2011","E00088185","E00088185",50
"2011","E00088186","E00088186",100
"2011","E00088192","E00088192",47
"2011","E00088193","E00088193",77
"2011","E00088378","E00088378",603
"2011","E00088379","E00088379",67
"2011","E00088380","E00088380",170
"2011","E00088381","E00088381",36
"2011","E00088373","E00088373",50
"2011","E00088374","E00088374",130
"2011","E00088375","E00088375",161
"2011","E00088376","E00088376",59
"2011","E00088377","E00088377",87
"2011","E00088575","E00088575",122
"2011","E00088576","E00088576",109
"2011","E00088577","E00088577",38
"2011","E00088578","E00088578",76
"2011","E00088570","E00088570",67
"2011","E00088571","E00088571",36
"2011","E00088572","E00088572",38
"2011","E00088573","E00088573",137
"2011","E00088574","E00088574",132
"2011","E00088250","E00088250",99
"2011","E00088264","E00088264",95
"2011","E00088265","E00088265",609
"2011","E00088266","E00088266",719
"2011","E00088267","E00088267",40
"2011","E00088253","E00088253",83
"2011","E00088257","E00088257",53
"2011","E00088259","E00088259",121
"2011","E00088260","E00088260",78
"2011","E00088261","E00088261",127
"2011","E00088254","E00088254",21
"2011","E00088262","E00088262",247
"2011","E00088263","E00088263",25
"2011","E00173746","E00173746",58
"2011","E00173747","E00173747",28
"2011","E00173748","E00173748",26
"2011","E00088252","E00088252",23
"2011","E00088255","E00088255",42
"2011","E00088256","E00088256",27
"2011","E00088258","E00088258",20
"2011","E00088490","E00088490",53
"2011","E00088491","E00088491",107
"2011","E00088492","E00088492",31
"2011","E00088493","E00088493",42
"2011","E00088494","E00088494",69
"2011","E00088495","E00088495",44
"2011","E00088496","E00088496",347
"2011","E00088327","E00088327",95
"2011","E00088328","E00088328",73
"2011","E00088329","E00088329",196
"2011","E00088330","E00088330",49
"2011","E00088331","E00088331",59
"2011","E00088332","E00088332",36
"2011","E00088324","E00088324",55
"2011","E00088325","E00088325",35
"2011","E00088326","E00088326",52
"2011","E00088340","E00088340",158
"2011","E00088341","E00088341",119
"2011","E00088555","E00088555",1558
"2011","E00088557","E00088557",226
"2011","E00088558","E00088558",111
"2011","E00088560","E00088560",154
"2011","E00088553","E00088553",158
"2011","E00088554","E00088554",107
"2011","E00088556","E00088556",494
"2011","E00088559","E00088559",152
"2011","E00173752","E00173752",33
"2011","E00173753","E00173753",94
"2011","E00173759","E00173759",32
"2011","E00173760","E00173760",31
"2011","E00088333","E00088333",88
"2011","E00088334","E00088334",95
"2011","E00088336","E00088336",62
"2011","E00088337","E00088337",74
"2011","E00088338","E00088338",78
"2011","E00173754","E00173754",48
"2011","E00173755","E00173755",39
"2011","E00173756","E00173756",31
"2011","E00088133","E00088133",156
"2011","E00088147","E00088147",26
"2011","E00088149","E00088149",19
"2011","E00088155","E00088155",44
"2011","E00088159","E00088159",41
"2011","E00088150","E00088150",63
"2011","E00088151","E00088151",37
"2011","E00088152","E00088152",29
"2011","E00088153","E00088153",44
"2011","E00088157","E00088157",13
"2011","E00088135","E00088135",29
"2011","E00088140","E00088140",32
"2011","E00088154","E00088154",126
"2011","E00088156","E00088156",22
"2011","E00088158","E00088158",27
"2011","E00088137","E00088137",89
"2011","E00088138","E00088138",23
"2011","E00088143","E00088143",251
"2011","E00088144","E00088144",26
"2011","E00088145","E00088145",17
"2011","E00088136","E00088136",108
"2011","E00088139","E00088139",135
"2011","E00088141","E00088141",12
"2011","E00088142","E00088142",23
"2011","E00088132","E00088132",32
"2011","E00088134","E00088134",37
"2011","E00088146","E00088146",36
"2011","E00088148","E00088148",17
"2011","E00088498","E00088498",36
"2011","E00088509","E00088509",30
"2011","E00088510","E00088510",25
"2011","E00088511","E00088511",38
"2011","E00088503","E00088503",20
"2011","E00088507","E00088507",17
"2011","E00088518","E00088518",37
"2011","E00088520","E00088520",28
"2011","E00088521","E00088521",28
"2011","E00088501","E00088501",37
"2011","E00088502","E00088502",22
"2011","E00088504","E00088504",17
"2011","E00088519","E00088519",16
"2011","E00088523","E00088523",22
"2011","E00088499","E00088499",104
"2011","E00088505","E00088505",40
"2011","E00088508","E00088508",18
"2011","E00088512","E00088512",144
"2011","E00088497","E00088497",30
"2011","E00088500","E00088500",225
"2011","E00088506","E00088506",54
"2011","E00088522","E00088522",32
"2011","E00088513","E00088513",31
"2011","E00088514","E00088514",66
"2011","E00088515","E00088515",26
"2011","E00088516","E00088516",24
"2011","E00088517","E00088517",18
"2011","E00088298","E00088298",172
"2011","E00088299","E00088299",18
"2011","E00088302","E00088302",76
"2011","E00088309","E00088309",131
"2011","E00088321","E00088321",34
"2011","E00088303","E00088303",28
"2011","E00088304","E00088304",24
"2011","E00088305","E00088305",17
"2011","E00088308","E00088308",20
"2011","E00088310","E00088310",61
"2011","E00088296","E00088296",1183
"2011","E00088300","E00088300",13
"2011","E00088301","E00088301",25
"2011","E00088306","E00088306",21
"2011","E00088307","E00088307",11
"2011","E00088311","E00088311",20
"2011","E00088312","E00088312",27
"2011","E00088313","E00088313",28
"2011","E00088314","E00088314",32
