"date","geography","geography code","Population: All usual residents aged 16 to 74; measures: Value"
"2011","E00004482","E00004482",47
"2011","E00004497","E00004497",22
"2011","E00004498","E00004498",26
"2011","E00004502","E00004502",14
"2011","E00004505","E00004505",44
"2011","E00004481","E00004481",115
"2011","E00004493","E00004493",28
"2011","E00004500","E00004500",22
"2011","E00004501","E00004501",13
"2011","E00004503","E00004503",30
"2011","E00004506","E00004506",61
"2011","E00004507","E00004507",44
"2011","E00004504","E00004504",66
"2011","E00004508","E00004508",78
"2011","E00004509","E00004509",40
"2011","E00004510","E00004510",140
"2011","E00004511","E00004511",64
"2011","E00004486","E00004486",369
"2011","E00004487","E00004487",39
"2011","E00004489","E00004489",426
"2011","E00004490","E00004490",81
"2011","E00004491","E00004491",135
"2011","E00004517","E00004517",31
"2011","E00004492","E00004492",220
"2011","E00004494","E00004494",712
"2011","E00004495","E00004495",94
"2011","E00004496","E00004496",68
"2011","E00004499","E00004499",72
"2011","E00004411","E00004411",60
"2011","E00004412","E00004412",74
"2011","E00004414","E00004414",57
"2011","E00004416","E00004416",52
"2011","E00004418","E00004418",54
"2011","E00004423","E00004423",156
"2011","E00004401","E00004401",49
"2011","E00004404","E00004404",78
"2011","E00004417","E00004417",52
"2011","E00004421","E00004421",63
"2011","E00004429","E00004429",421
"2011","E00004409","E00004409",132
"2011","E00004410","E00004410",105
"2011","E00004415","E00004415",153
"2011","E00004419","E00004419",774
"2011","E00004422","E00004422",196
"2011","E00004428","E00004428",34
"2011","E00004430","E00004430",21
"2011","E00004402","E00004402",32
"2011","E00004420","E00004420",47
"2011","E00004424","E00004424",31
"2011","E00004425","E00004425",185
"2011","E00004426","E00004426",183
"2011","E00004427","E00004427",112
"2011","E00004403","E00004403",108
"2011","E00004405","E00004405",179
"2011","E00004406","E00004406",59
"2011","E00004407","E00004407",221
"2011","E00004408","E00004408",78
"2011","E00004413","E00004413",79
"2011","E00004483","E00004483",57
"2011","E00004485","E00004485",47
"2011","E00004513","E00004513",56
"2011","E00004514","E00004514",54
"2011","E00004516","E00004516",274
"2011","E00004484","E00004484",67
"2011","E00004488","E00004488",20
"2011","E00004512","E00004512",48
"2011","E00004515","E00004515",46
