"date","geography","geography code","Population: All usual residents aged 16 to 74; measures: Value"
"2011","E00063550","E00063550",113
"2011","E00063551","E00063551",752
"2011","E00063552","E00063552",964
"2011","E00063556","E00063556",220
"2011","E00063558","E00063558",12
"2011","E00063553","E00063553",17
"2011","E00063554","E00063554",64
"2011","E00063555","E00063555",192
"2011","E00063557","E00063557",65
"2011","E00063559","E00063559",88
"2011","E00063681","E00063681",31
"2011","E00063682","E00063682",86
"2011","E00063687","E00063687",267
"2011","E00063697","E00063697",133
"2011","E00063699","E00063699",31
"2011","E00063700","E00063700",206
"2011","E00063683","E00063683",41
"2011","E00063684","E00063684",61
"2011","E00063685","E00063685",15
"2011","E00063686","E00063686",25
"2011","E00063689","E00063689",46
"2011","E00063680","E00063680",9
"2011","E00063688","E00063688",39
"2011","E00063690","E00063690",19
"2011","E00063691","E00063691",113
"2011","E00063692","E00063692",327
"2011","E00063693","E00063693",33
"2011","E00063694","E00063694",131
"2011","E00063695","E00063695",41
"2011","E00063696","E00063696",26
"2011","E00063698","E00063698",18
"2011","E00063439","E00063439",27
"2011","E00063443","E00063443",32
"2011","E00063445","E00063445",22
"2011","E00063450","E00063450",22
"2011","E00063435","E00063435",73
"2011","E00063437","E00063437",59
"2011","E00063444","E00063444",30
"2011","E00063448","E00063448",44
"2011","E00063440","E00063440",108
"2011","E00063441","E00063441",58
"2011","E00063446","E00063446",22
"2011","E00063447","E00063447",36
"2011","E00063449","E00063449",42
"2011","E00063452","E00063452",51
"2011","E00063453","E00063453",35
"2011","E00063454","E00063454",270
"2011","E00063463","E00063463",46
"2011","E00063464","E00063464",31
"2011","E00063458","E00063458",113
"2011","E00063465","E00063465",51
"2011","E00063466","E00063466",29
"2011","E00063467","E00063467",25
"2011","E00063468","E00063468",14
"2011","E00063398","E00063398",39
"2011","E00063412","E00063412",26
"2011","E00063414","E00063414",22
"2011","E00063415","E00063415",13
"2011","E00063419","E00063419",14
"2011","E00063420","E00063420",66
"2011","E00063421","E00063421",84
"2011","E00063422","E00063422",49
"2011","E00063423","E00063423",37
"2011","E00063427","E00063427",121
"2011","E00063431","E00063431",84
"2011","E00171885","E00171885",67
"2011","E00171887","E00171887",45
"2011","E00063547","E00063547",50
"2011","E00063562","E00063562",18
"2011","E00063563","E00063563",233
"2011","E00171884","E00171884",99
"2011","E00171888","E00171888",7
"2011","E00063549","E00063549",72
"2011","E00063560","E00063560",1989
"2011","E00063561","E00063561",19
"2011","E00063564","E00063564",154
"2011","E00063425","E00063425",11
"2011","E00063426","E00063426",42
"2011","E00063430","E00063430",21
"2011","E00063433","E00063433",24
"2011","E00063428","E00063428",192
"2011","E00063429","E00063429",45
"2011","E00063432","E00063432",50
"2011","E00063434","E00063434",111
"2011","E00063732","E00063732",482
"2011","E00063739","E00063739",18
"2011","E00063741","E00063741",27
"2011","E00063742","E00063742",34
"2011","E00063736","E00063736",43
"2011","E00063737","E00063737",67
"2011","E00063738","E00063738",87
"2011","E00063740","E00063740",73
"2011","E00063451","E00063451",72
"2011","E00063459","E00063459",166
"2011","E00063461","E00063461",42
"2011","E00063462","E00063462",49
"2011","E00063455","E00063455",96
"2011","E00063456","E00063456",57
"2011","E00063457","E00063457",13
"2011","E00063460","E00063460",77
"2011","E00063793","E00063793",930
"2011","E00063794","E00063794",94
"2011","E00063795","E00063795",86
"2011","E00063796","E00063796",24
"2011","E00063798","E00063798",52
"2011","E00063788","E00063788",21
"2011","E00063790","E00063790",29
"2011","E00063799","E00063799",44
"2011","E00063800","E00063800",26
"2011","E00063801","E00063801",31
"2011","E00063791","E00063791",18
"2011","E00063792","E00063792",23
"2011","E00063804","E00063804",24
"2011","E00063807","E00063807",79
"2011","E00063808","E00063808",127
"2011","E00063809","E00063809",78
"2011","E00063663","E00063663",17
"2011","E00063664","E00063664",40
"2011","E00063669","E00063669",548
"2011","E00063672","E00063672",1120
"2011","E00063677","E00063677",14
"2011","E00063666","E00063666",73
"2011","E00063667","E00063667",19
"2011","E00063671","E00063671",320
"2011","E00063679","E00063679",116
"2011","E00063727","E00063727",105
"2011","E00063730","E00063730",184
"2011","E00063731","E00063731",100
"2011","E00063733","E00063733",2429
"2011","E00063726","E00063726",55
"2011","E00063728","E00063728",115
"2011","E00063729","E00063729",53
"2011","E00063734","E00063734",51
"2011","E00063735","E00063735",6049
"2011","E00063789","E00063789",1358
"2011","E00063797","E00063797",1079
"2011","E00063802","E00063802",218
"2011","E00063803","E00063803",44
"2011","E00063805","E00063805",908
"2011","E00063806","E00063806",353
"2011","E00063397","E00063397",44
"2011","E00063400","E00063400",66
"2011","E00063401","E00063401",89
"2011","E00063404","E00063404",457
"2011","E00063405","E00063405",75
"2011","E00063407","E00063407",36
