"date","geography","geography code","Population: All usual residents aged 16 to 74; measures: Value"
"2011","W00000005","W00000005",51
"2011","W00000006","W00000006",50
"2011","W00000008","W00000008",70
"2011","W00000009","W00000009",128
"2011","W00009977","W00009977",135
"2011","W00009978","W00009978",76
"2011","W00009979","W00009979",26
"2011","W00009980","W00009980",294
"2011","W00000010","W00000010",29
"2011","W00000011","W00000011",72
"2011","W00000012","W00000012",59
"2011","W00000013","W00000013",164
"2011","W00000084","W00000084",101
"2011","W00000086","W00000086",18
"2011","W00000087","W00000087",33
"2011","W00000088","W00000088",1017
"2011","W00000090","W00000090",22
"2011","W00009981","W00009981",57
"2011","W00000137","W00000137",66
"2011","W00000138","W00000138",50
"2011","W00000139","W00000139",51
"2011","W00000140","W00000140",52
"2011","W00000141","W00000141",31
"2011","W00000142","W00000142",88
"2011","W00000156","W00000156",58
"2011","W00000157","W00000157",68
"2011","W00000158","W00000158",69
"2011","W00000159","W00000159",48
"2011","W00000160","W00000160",28
"2011","W00000042","W00000042",42
"2011","W00000043","W00000043",40
"2011","W00000044","W00000044",94
"2011","W00000045","W00000045",36
"2011","W00000046","W00000046",80
"2011","W00000047","W00000047",31
"2011","W00000097","W00000097",66
"2011","W00000098","W00000098",138
"2011","W00000099","W00000099",79
"2011","W00000100","W00000100",42
"2011","W00000101","W00000101",30
"2011","W00000102","W00000102",45
"2011","W00000103","W00000103",53
"2011","W00000104","W00000104",49
"2011","W00000105","W00000105",74
"2011","W00000106","W00000106",61
"2011","W00000107","W00000107",90
"2011","W00000161","W00000161",26
"2011","W00000162","W00000162",32
"2011","W00000163","W00000163",135
"2011","W00000164","W00000164",35
"2011","W00000075","W00000075",54
"2011","W00000076","W00000076",242
"2011","W00000077","W00000077",526
"2011","W00000078","W00000078",32
"2011","W00000079","W00000079",224
"2011","W00000080","W00000080",23
"2011","W00000081","W00000081",45
"2011","W00000082","W00000082",89
"2011","W00000083","W00000083",25
"2011","W00000143","W00000143",340
"2011","W00000144","W00000144",21
"2011","W00000145","W00000145",38
"2011","W00000146","W00000146",25
"2011","W00000147","W00000147",117
"2011","W00000148","W00000148",25
"2011","W00000149","W00000149",30
"2011","W00000150","W00000150",28
"2011","W00000151","W00000151",20
"2011","W00000152","W00000152",77
"2011","W00000153","W00000153",12
"2011","W00000154","W00000154",14
"2011","W00000155","W00000155",98
"2011","W00000165","W00000165",749
"2011","W00000166","W00000166",11
"2011","W00000167","W00000167",118
"2011","W00000168","W00000168",101
"2011","W00000169","W00000169",26
"2011","W00000180","W00000180",68
"2011","W00000182","W00000182",96
"2011","W00000186","W00000186",118
"2011","W00000187","W00000187",65
"2011","W00000181","W00000181",22
"2011","W00000183","W00000183",53
"2011","W00000184","W00000184",178
"2011","W00000185","W00000185",66
"2011","W00000108","W00000108",82
"2011","W00000109","W00000109",22
"2011","W00000110","W00000110",70
"2011","W00000111","W00000111",60
"2011","W00000112","W00000112",82
"2011","W00000170","W00000170",16
"2011","W00000171","W00000171",41
"2011","W00000172","W00000172",165
"2011","W00000173","W00000173",28
"2011","W00000199","W00000199",102
"2011","W00000200","W00000200",74
"2011","W00000206","W00000206",64
"2011","W00000207","W00000207",21
"2011","W00000201","W00000201",41
"2011","W00000202","W00000202",437
"2011","W00000203","W00000203",29
"2011","W00000204","W00000204",101
"2011","W00000205","W00000205",171
"2011","W00000220","W00000220",43
"2011","W00000221","W00000221",134
"2011","W00000222","W00000222",127
"2011","W00000226","W00000226",49
"2011","W00000223","W00000223",48
"2011","W00000224","W00000224",27
"2011","W00000225","W00000225",13
"2011","W00000227","W00000227",20
"2011","W00000014","W00000014",99
"2011","W00000015","W00000015",36
"2011","W00000016","W00000016",31
"2011","W00000017","W00000017",110
"2011","W00000018","W00000018",15
"2011","W00000019","W00000019",296
"2011","W00000020","W00000020",15
"2011","W00000021","W00000021",103
"2011","W00000057","W00000057",71
"2011","W00000058","W00000058",71
"2011","W00000059","W00000059",20
"2011","W00000060","W00000060",43
"2011","W00000061","W00000061",21
"2011","W00000062","W00000062",174
"2011","W00000063","W00000063",67
"2011","W00000091","W00000091",67
"2011","W00000092","W00000092",25
"2011","W00000093","W00000093",27
"2011","W00000094","W00000094",112
"2011","W00000095","W00000095",31
"2011","W00000096","W00000096",120
"2011","W00000127","W00000127",56
"2011","W00000128","W00000128",24
"2011","W00000129","W00000129",104
"2011","W00000130","W00000130",36
"2011","W00000131","W00000131",45
"2011","W00000174","W00000174",30
"2011","W00000175","W00000175",76
"2011","W00000176","W00000176",117
"2011","W00000177","W00000177",28
"2011","W00000178","W00000178",83
"2011","W00000179","W00000179",32
"2011","W00000022","W00000022",86
"2011","W00000023","W00000023",219
"2011","W00000024","W00000024",76
"2011","W00000025","W00000025",56
"2011","W00000026","W00000026",53
"2011","W00000052","W00000052",87
"2011","W00000053","W00000053",194
"2011","W00000054","W00000054",15
"2011","W00000055","W00000055",867
"2011","W00000056","W00000056",1450
"2011","W00000064","W00000064",67
"2011","W00000065","W00000065",613
"2011","W00000066","W00000066",28
"2011","W00000067","W00000067",70
"2011","W00000068","W00000068",90
"2011","W00000069","W00000069",35
"2011","W00000208","W00000208",265
"2011","W00000209","W00000209",13
"2011","W00000210","W00000210",32
"2011","W00000211","W00000211",18
"2011","W00000212","W00000212",301
"2011","W00000001","W00000001",96
"2011","W00000002","W00000002",39
"2011","W00000190","W00000190",59
"2011","W00000191","W00000191",75
"2011","W00000003","W00000003",76
"2011","W00000004","W00000004",66
"2011","W00000188","W00000188",53
"2011","W00000189","W00000189",29
"2011","W00000037","W00000037",80
"2011","W00000038","W00000038",109
"2011","W00000039","W00000039",87
"2011","W00000040","W00000040",57
"2011","W00000041","W00000041",24
"2011","W00000113","W00000113",42
"2011","W00000114","W00000114",99
"2011","W00000115","W00000115",200
"2011","W00000120","W00000120",113
"2011","W00000116","W00000116",29
"2011","W00000117","W00000117",70
"2011","W00000118","W00000118",40
"2011","W00000119","W00000119",1326
"2011","W00000032","W00000032",26
"2011","W00000033","W00000033",63
"2011","W00000034","W00000034",106
"2011","W00000035","W00000035",98
"2011","W00000036","W00000036",18
"2011","W00000048","W00000048",169
"2011","W00000049","W00000049",300
"2011","W00000050","W00000050",113
"2011","W00000051","W00000051",363
"2011","W00000070","W00000070",34
"2011","W00000071","W00000071",85
"2011","W00000072","W00000072",31
"2011","W00000073","W00000073",95
"2011","W00000074","W00000074",98
"2011","W00000213","W00000213",54
"2011","W00000214","W00000214",37
"2011","W00000215","W00000215",296
"2011","W00000216","W00000216",19
"2011","W00000217","W00000217",27
"2011","W00000218","W00000218",50
"2011","W00000219","W00000219",30
"2011","W00000027","W00000027",81
"2011","W00000028","W00000028",75
"2011","W00000029","W00000029",33
"2011","W00000030","W00000030",73
"2011","W00000031","W00000031",59
"2011","W00000121","W00000121",136
"2011","W00000122","W00000122",893
"2011","W00000123","W00000123",29
"2011","W00000124","W00000124",124
"2011","W00000125","W00000125",71
"2011","W00000126","W00000126",146
"2011","W00000132","W00000132",194
"2011","W00000133","W00000133",57
"2011","W00000134","W00000134",74
"2011","W00000135","W00000135",105
"2011","W00000136","W00000136",51
"2011","W00000192","W00000192",30
"2011","W00000193","W00000193",18
"2011","W00000194","W00000194",116
"2011","W00000195","W00000195",55
"2011","W00000196","W00000196",39
"2011","W00000197","W00000197",71
"2011","W00000198","W00000198",42
"2011","W00000317","W00000317",538
"2011","W00000318","W00000318",1412
"2011","W00000319","W00000319",148
"2011","W00000320","W00000320",211
"2011","W00010043","W00010043",134
"2011","W00010045","W00010045",202
"2011","W00000362","W00000362",72
"2011","W00000395","W00000395",75
"2011","W00010046","W00010046",147
"2011","W00010048","W00010048",1243
"2011","W00000394","W00000394",67
"2011","W00000396","W00000396",53
"2011","W00000397","W00000397",79
"2011","W00000398","W00000398",38
"2011","W00000460","W00000460",35
"2011","W00000461","W00000461",5
"2011","W00000463","W00000463",17
"2011","W00000465","W00000465",47
"2011","W00000468","W00000468",273
"2011","W00000469","W00000469",861
"2011","W00000470","W00000470",49
"2011","W00000472","W00000472",118
"2011","W00010049","W00010049",444
"2011","W00010051","W00010051",91
"2011","W00000328","W00000328",1022
"2011","W00000329","W00000329",227
"2011","W00000330","W00000330",44
"2011","W00000331","W00000331",142
"2011","W00000332","W00000332",46
"2011","W00000370","W00000370",86
"2011","W00000371","W00000371",316
"2011","W00000372","W00000372",318
"2011","W00000373","W00000373",16
"2011","W00000374","W00000374",22
"2011","W00000375","W00000375",31
"2011","W00000389","W00000389",18
"2011","W00000390","W00000390",18
"2011","W00000391","W00000391",41
"2011","W00000392","W00000392",17
"2011","W00000393","W00000393",202
"2011","W00000462","W00000462",54
"2011","W00000464","W00000464",17
"2011","W00000466","W00000466",54
"2011","W00000467","W00000467",38
"2011","W00000519","W00000519",3157
"2011","W00000524","W00000524",413
"2011","W00000525","W00000525",180
"2011","W00000254","W00000254",65
"2011","W00000255","W00000255",1010
"2011","W00000256","W00000256",39
"2011","W00000257","W00000257",15
"2011","W00000258","W00000258",135
"2011","W00000363","W00000363",73
"2011","W00000364","W00000364",83
"2011","W00000365","W00000365",59
"2011","W00000366","W00000366",62
"2011","W00000367","W00000367",36
"2011","W00000368","W00000368",45
"2011","W00000369","W00000369",65
"2011","W00000494","W00000494",40
"2011","W00000495","W00000495",43
"2011","W00000496","W00000496",56
"2011","W00000497","W00000497",42
"2011","W00000490","W00000490",34
"2011","W00000491","W00000491",116
"2011","W00000492","W00000492",106
"2011","W00000493","W00000493",108
"2011","W00000593","W00000593",32
"2011","W00000594","W00000594",25
"2011","W00000595","W00000595",70
"2011","W00000596","W00000596",70
"2011","W00000597","W00000597",157
"2011","W00000598","W00000598",76
"2011","W00000599","W00000599",290
"2011","W00000266","W00000266",20
"2011","W00000267","W00000267",40
"2011","W00000268","W00000268",47
"2011","W00000270","W00000270",59
"2011","W00000269","W00000269",73
"2011","W00000314","W00000314",91
"2011","W00000315","W00000315",171
"2011","W00000316","W00000316",81
"2011","W00000439","W00000439",55
"2011","W00000440","W00000440",91
"2011","W00000441","W00000441",32
"2011","W00000442","W00000442",58
"2011","W00000443","W00000443",53
"2011","W00000444","W00000444",143
"2011","W00000622","W00000622",59
"2011","W00000623","W00000623",90
"2011","W00000624","W00000624",37
"2011","W00000625","W00000625",285
"2011","W00000626","W00000626",88
"2011","W00000627","W00000627",93
"2011","W00000628","W00000628",62
"2011","W00000322","W00000322",27
"2011","W00000323","W00000323",26
"2011","W00000324","W00000324",55
"2011","W00000325","W00000325",366
"2011","W00000326","W00000326",52
"2011","W00000327","W00000327",68
"2011","W00000412","W00000412",103
"2011","W00000413","W00000413",42
"2011","W00000414","W00000414",22
"2011","W00000415","W00000415",853
"2011","W00000416","W00000416",234
"2011","W00000417","W00000417",39
"2011","W00000418","W00000418",89
"2011","W00000505","W00000505",39
"2011","W00000506","W00000506",120
"2011","W00000507","W00000507",35
"2011","W00000508","W00000508",91
"2011","W00000509","W00000509",72
"2011","W00000520","W00000520",117
"2011","W00000521","W00000521",51
"2011","W00000522","W00000522",2097
"2011","W00000523","W00000523",44
"2011","W00000293","W00000293",199
"2011","W00000294","W00000294",9
"2011","W00000295","W00000295",11
"2011","W00000296","W00000296",82
"2011","W00000297","W00000297",15
"2011","W00000298","W00000298",64
"2011","W00000299","W00000299",145
"2011","W00000300","W00000300",311
"2011","W00000473","W00000473",449
"2011","W00000474","W00000474",118
"2011","W00000475","W00000475",160
"2011","W00000476","W00000476",1177
"2011","W00000477","W00000477",152
"2011","W00000478","W00000478",31
"2011","W00000479","W00000479",21
"2011","W00000480","W00000480",22
"2011","W00000498","W00000498",33
"2011","W00000499","W00000499",20
"2011","W00000500","W00000500",44
"2011","W00000501","W00000501",926
"2011","W00000502","W00000502",21
"2011","W00000503","W00000503",28
"2011","W00000504","W00000504",144
"2011","W00000569","W00000569",29
"2011","W00000571","W00000571",197
"2011","W00000572","W00000572",65
"2011","W00000573","W00000573",17
"2011","W00000574","W00000574",22
"2011","W00000271","W00000271",126
"2011","W00000272","W00000272",36
"2011","W00000273","W00000273",302
"2011","W00000274","W00000274",56
"2011","W00000448","W00000448",50
"2011","W00000449","W00000449",137
"2011","W00000450","W00000450",159
"2011","W00000451","W00000451",38
"2011","W00000452","W00000452",36
"2011","W00000453","W00000453",74
"2011","W00000564","W00000564",1866
"2011","W00000565","W00000565",38
"2011","W00000566","W00000566",29
"2011","W00000567","W00000567",95
"2011","W00000568","W00000568",191
"2011","W00000570","W00000570",17
"2011","W00000575","W00000575",327
"2011","W00000616","W00000616",78
"2011","W00000617","W00000617",112
"2011","W00000618","W00000618",67
"2011","W00000619","W00000619",138
"2011","W00000620","W00000620",74
"2011","W00000621","W00000621",43
"2011","W00000376","W00000376",35
"2011","W00000377","W00000377",118
"2011","W00000378","W00000378",69
"2011","W00000379","W00000379",35
"2011","W00000380","W00000380",27
"2011","W00000381","W00000381",102
"2011","W00000301","W00000301",64
"2011","W00000302","W00000302",138
"2011","W00000303","W00000303",59
"2011","W00000435","W00000435",46
"2011","W00000436","W00000436",60
"2011","W00000437","W00000437",36
"2011","W00000438","W00000438",54
"2011","W00000526","W00000526",389
"2011","W00000527","W00000527",88
"2011","W00000528","W00000528",91
"2011","W00000529","W00000529",44
"2011","W00000530","W00000530",59
"2011","W00000531","W00000531",82
"2011","W00000576","W00000576",27
"2011","W00000577","W00000577",27
"2011","W00000578","W00000578",42
"2011","W00000579","W00000579",42
"2011","W00000580","W00000580",23
"2011","W00000581","W00000581",37
"2011","W00000278","W00000278",287
"2011","W00000279","W00000279",128
