"date","geography","geography code","Population: All usual residents aged 16 to 74; measures: Value"
"2011","AL1  1","AL1  1",2293
"2011","AL1  2","AL1  2",3174
"2011","AL1  3","AL1  3",6540
"2011","AL1  4","AL1  4",2588
"2011","AL1  5","AL1  5",3892
"2011","AL10 0","AL10 0",5890
"2011","AL10 8","AL10 8",1708
"2011","AL10 9","AL10 9",17322
"2011","AL2  1","AL2  1",3789
"2011","AL2  2","AL2  2",3981
"2011","AL2  3","AL2  3",3381
"2011","AL3  4","AL3  4",2592
"2011","AL3  5","AL3  5",5881
"2011","AL3  6","AL3  6",2307
"2011","AL3  7","AL3  7",1613
"2011","AL3  8","AL3  8",1590
"2011","AL4  0","AL4  0",4325
"2011","AL4  8","AL4  8",1522
"2011","AL4  9","AL4  9",2715
"2011","AL5  1","AL5  1",1429
"2011","AL5  2","AL5  2",3756
"2011","AL5  3","AL5  3",1133
"2011","AL5  4","AL5  4",2968
"2011","AL5  5","AL5  5",1765
"2011","AL6  0","AL6  0",1251
"2011","AL6  9","AL6  9",2206
"2011","AL7  1","AL7  1",9983
"2011","AL7  2","AL7  2",1131
"2011","AL7  3","AL7  3",7217
"2011","AL7  4","AL7  4",4442
"2011","AL8  6","AL8  6",7775
"2011","AL8  7","AL8  7",1560
"2011","AL9  5","AL9  5",1485
"2011","AL9  6","AL9  6",633
"2011","AL9  7","AL9  7",4267
"2011","B1   1","B1   1",7345
"2011","B1   2","B1   2",7786
"2011","B1   3","B1   3",2352
"2011","B10  0","B10  0",4411
"2011","B10  9","B10  9",2536
"2011","B11  1","B11  1",3254
"2011","B11  2","B11  2",4783
"2011","B11  3","B11  3",5301
"2011","B11  4","B11  4",1938
"2011","B12  0","B12  0",5369
"2011","B12  8","B12  8",3317
"2011","B12  9","B12  9",1485
"2011","B13  0","B13  0",2337
"2011","B13  8","B13  8",3925
"2011","B13  9","B13  9",2543
"2011","B14  4","B14  4",2531
"2011","B14  5","B14  5",2146
"2011","B14  6","B14  6",2178
"2011","B14  7","B14  7",4106
"2011","B15  1","B15  1",7014
"2011","B15  2","B15  2",11268
"2011","B15  3","B15  3",7708
"2011","B16  0","B16  0",1751
"2011","B16  8","B16  8",10901
"2011","B16  9","B16  9",3137
"2011","B17  0","B17  0",1588
"2011","B17  8","B17  8",3026
"2011","B17  9","B17  9",3484
"2011","B18  4","B18  4",2089
"2011","B18  5","B18  5",6087
"2011","B18  6","B18  6",4934
"2011","B18  7","B18  7",1210
"2011","B19  1","B19  1",1936
"2011","B19  2","B19  2",2566
"2011","B19  3","B19  3",4898
"2011","B2   4","B2   4",11215
"2011","B2   5","B2   5",1268
"2011","B20  1","B20  1",1230
"2011","B20  2","B20  2",2323
"2011","B20  3","B20  3",2415
"2011","B21  0","B21  0",3782
"2011","B21  8","B21  8",1416
"2011","B21  9","B21  9",2557
"2011","B23  5","B23  5",2564
"2011","B23  6","B23  6",3942
"2011","B23  7","B23  7",3221
"2011","B24  0","B24  0",3309
"2011","B24  8","B24  8",3524
"2011","B24  9","B24  9",10722
"2011","B25  8","B25  8",6054
"2011","B26  1","B26  1",2042
"2011","B26  2","B26  2",1744
"2011","B26  3","B26  3",5070
"2011","B27  6","B27  6",3550
"2011","B27  7","B27  7",3115
"2011","B28  0","B28  0",2262
"2011","B28  8","B28  8",2842
"2011","B28  9","B28  9",1623
"2011","B29  4","B29  4",1280
"2011","B29  5","B29  5",1383
"2011","B29  6","B29  6",4667
"2011","B29  7","B29  7",2302
"2011","B3   1","B3   1",5738
"2011","B3   2","B3   2",26241
"2011","B30  1","B30  1",3044
"2011","B30  2","B30  2",4898
"2011","B30  3","B30  3",5119
"2011","B31  1","B31  1",2487
"2011","B31  2","B31  2",4871
"2011","B31  3","B31  3",1667
"2011","B31  4","B31  4",1356
"2011","B31  5","B31  5",1519
"2011","B32  1","B32  1",2738
"2011","B32  2","B32  2",1747
"2011","B32  3","B32  3",4144
"2011","B32  4","B32  4",672
"2011","B33  0","B33  0",5319
"2011","B33  8","B33  8",2492
"2011","B33  9","B33  9",2813
"2011","B34  6","B34  6",1367
"2011","B34  7","B34  7",1403
"2011","B35  6","B35  6",890
"2011","B35  7","B35  7",5768
"2011","B36  0","B36  0",2660
"2011","B36  8","B36  8",2411
"2011","B36  9","B36  9",1538
"2011","B37  5","B37  5",3219
"2011","B37  6","B37  6",2031
"2011","B37  7","B37  7",9148
"2011","B38  0","B38  0",694
"2011","B38  8","B38  8",3091
"2011","B38  9","B38  9",1624
"2011","B4   6","B4   6",206
"2011","B4   7","B4   7",23394
"2011","B42  1","B42  1",3591
"2011","B42  2","B42  2",8891
"2011","B43  5","B43  5",1388
"2011","B43  6","B43  6",1616
"2011","B43  7","B43  7",1848
"2011","B44  0","B44  0",2328
"2011","B44  8","B44  8",4016
"2011","B44  9","B44  9",2899
"2011","B45  0","B45  0",1014
"2011","B45  8","B45  8",2526
"2011","B45  9","B45  9",5215
"2011","B46  1","B46  1",6062
"2011","B46  2","B46  2",931
"2011","B46  3","B46  3",2029
"2011","B47  5","B47  5",1295
"2011","B47  6","B47  6",2069
"2011","B48  7","B48  7",2470
"2011","B49  5","B49  5",2619
"2011","B49  6","B49  6",3249
"2011","B5   4","B5   4",10919
"2011","B5   5","B5   5",603
"2011","B5   6","B5   6",32
"2011","B5   7","B5   7",11283
"2011","B50  4","B50  4",1803
"2011","B6   4","B6   4",4698
"2011","B6   5","B6   5",3432
"2011","B6   6","B6   6",1994
"2011","B6   7","B6   7",3301
"2011","B60  1","B60  1",3778
"2011","B60  2","B60  2",1671
"2011","B60  3","B60  3",2777
"2011","B60  4","B60  4",5054
"2011","B61  0","B61  0",3053
"2011","B61  7","B61  7",1546
"2011","B61  8","B61  8",2652
"2011","B61  9","B61  9",988
"2011","B62  0","B62  0",1404
"2011","B62  8","B62  8",4270
"2011","B62  9","B62  9",1906
"2011","B63  1","B63  1",874
"2011","B63  2","B63  2",2904
"2011","B63  3","B63  3",7094
"2011","B63  4","B63  4",3294
"2011","B64  5","B64  5",1428
"2011","B64  6","B64  6",4954
"2011","B64  7","B64  7",1299
"2011","B65  0","B65  0",2917
"2011","B65  8","B65  8",1968
"2011","B65  9","B65  9",1080
"2011","B66  1","B66  1",5799
"2011","B66  2","B66  2",1454
"2011","B66  3","B66  3",5119
"2011","B66  4","B66  4",2539
"2011","B67  5","B67  5",2084
"2011","B67  6","B67  6",1185
"2011","B67  7","B67  7",2077
"2011","B68  0","B68  0",1530
"2011","B68  8","B68  8",3119
"2011","B68  9","B68  9",1768
"2011","B69  1","B69  1",1861
"2011","B69  2","B69  2",9049
"2011","B69  3","B69  3",2565
