"date","geography","geography code","Population: All usual residents aged 16 to 74; measures: Value"
"2011","E00067967","E00067967",19
"2011","E00067996","E00067996",93
"2011","E00067998","E00067998",58
"2011","E00067999","E00067999",21
"2011","E00068005","E00068005",68
"2011","E00067965","E00067965",30
"2011","E00067966","E00067966",112
"2011","E00067993","E00067993",21
"2011","E00067995","E00067995",22
"2011","E00067997","E00067997",33
"2011","E00067989","E00067989",69
"2011","E00067990","E00067990",37
"2011","E00067991","E00067991",15
"2011","E00067992","E00067992",18
"2011","E00067994","E00067994",32
"2011","E00067968","E00067968",27
"2011","E00067969","E00067969",28
"2011","E00067970","E00067970",28
"2011","E00068000","E00068000",95
"2011","E00068001","E00068001",26
"2011","E00067973","E00067973",35
"2011","E00067974","E00067974",22
"2011","E00068002","E00068002",74
"2011","E00068003","E00068003",16
"2011","E00068004","E00068004",196
"2011","E00067962","E00067962",35
"2011","E00067972","E00067972",57
"2011","E00067976","E00067976",32
"2011","E00067977","E00067977",24
"2011","E00067978","E00067978",28
"2011","E00067960","E00067960",15
"2011","E00067961","E00067961",20
"2011","E00067971","E00067971",19
"2011","E00067975","E00067975",13
"2011","E00067979","E00067979",21
"2011","E00067963","E00067963",1209
"2011","E00067964","E00067964",22
"2011","E00067981","E00067981",52
"2011","E00067982","E00067982",19
"2011","E00067988","E00067988",13
"2011","E00067980","E00067980",243
"2011","E00067983","E00067983",17
"2011","E00067984","E00067984",8
"2011","E00067985","E00067985",206
"2011","E00067986","E00067986",132
"2011","E00067987","E00067987",12
"2011","E00068531","E00068531",32
"2011","E00068535","E00068535",56
"2011","E00068548","E00068548",38
"2011","E00068550","E00068550",32
"2011","E00068551","E00068551",22
"2011","E00068540","E00068540",46
"2011","E00068545","E00068545",9
"2011","E00068552","E00068552",29
"2011","E00068557","E00068557",38
"2011","E00068541","E00068541",89
"2011","E00068549","E00068549",38
"2011","E00068553","E00068553",27
"2011","E00068554","E00068554",20
"2011","E00068556","E00068556",14
"2011","E00068532","E00068532",30
"2011","E00068534","E00068534",25
"2011","E00068537","E00068537",30
"2011","E00068539","E00068539",62
"2011","E00068546","E00068546",28
"2011","E00068530","E00068530",41
"2011","E00068533","E00068533",27
"2011","E00171212","E00171212",56
"2011","E00171240","E00171240",30
"2011","E00171243","E00171243",24
"2011","E00068538","E00068538",33
"2011","E00068547","E00068547",27
"2011","E00068555","E00068555",16
"2011","E00171239","E00171239",24
"2011","E00171244","E00171244",148
"2011","E00171246","E00171246",11
"2011","E00068543","E00068543",29
"2011","E00068544","E00068544",31
"2011","E00068562","E00068562",14
"2011","E00068563","E00068563",14
"2011","E00068567","E00068567",71
"2011","E00068571","E00068571",22
"2011","E00068316","E00068316",265
"2011","E00068325","E00068325",66
"2011","E00068350","E00068350",21
"2011","E00068351","E00068351",39
"2011","E00068358","E00068358",2871
"2011","E00068323","E00068323",17
"2011","E00068324","E00068324",88
"2011","E00068354","E00068354",31
"2011","E00068355","E00068355",20
"2011","E00068357","E00068357",279
"2011","E00068315","E00068315",147
"2011","E00068332","E00068332",21
"2011","E00068352","E00068352",84
"2011","E00068353","E00068353",180
"2011","E00068356","E00068356",12
"2011","E00068558","E00068558",24
"2011","E00068559","E00068559",19
"2011","E00068565","E00068565",3
"2011","E00068566","E00068566",7
"2011","E00068568","E00068568",16
"2011","E00068572","E00068572",13
"2011","E00068272","E00068272",28
"2011","E00068306","E00068306",640
"2011","E00068307","E00068307",60
"2011","E00068308","E00068308",57
"2011","E00068309","E00068309",39
"2011","E00068312","E00068312",40
"2011","E00068274","E00068274",28
"2011","E00068280","E00068280",43
"2011","E00068282","E00068282",34
"2011","E00068310","E00068310",300
"2011","E00068314","E00068314",59
"2011","E00068276","E00068276",58
"2011","E00068278","E00068278",211
"2011","E00068283","E00068283",305
"2011","E00068288","E00068288",39
"2011","E00068290","E00068290",37
"2011","E00068273","E00068273",43
"2011","E00068275","E00068275",642
"2011","E00068281","E00068281",42
"2011","E00068284","E00068284",138
"2011","E00068292","E00068292",84
"2011","E00171213","E00171213",49
"2011","E00171218","E00171218",41
"2011","E00171219","E00171219",19
"2011","E00068193","E00068193",31
"2011","E00068195","E00068195",24
"2011","E00068197","E00068197",21
"2011","E00068199","E00068199",24
"2011","E00068201","E00068201",29
"2011","E00068196","E00068196",77
"2011","E00068198","E00068198",81
"2011","E00068204","E00068204",31
"2011","E00068205","E00068205",104
"2011","E00068230","E00068230",232
"2011","E00068194","E00068194",112
"2011","E00068227","E00068227",22
"2011","E00068228","E00068228",21
"2011","E00068229","E00068229",33
"2011","E00068326","E00068326",26
"2011","E00068327","E00068327",24
"2011","E00068329","E00068329",28
"2011","E00068334","E00068334",35
"2011","E00068359","E00068359",45
"2011","E00068529","E00068529",11
"2011","E00068560","E00068560",11
"2011","E00068561","E00068561",280
"2011","E00068564","E00068564",8
"2011","E00068569","E00068569",23
"2011","E00068570","E00068570",21
"2011","E00068317","E00068317",48
"2011","E00068318","E00068318",19
"2011","E00068319","E00068319",11
"2011","E00068330","E00068330",73
"2011","E00068336","E00068336",12
"2011","E00068322","E00068322",63
"2011","E00068333","E00068333",19
"2011","E00068341","E00068341",34
"2011","E00068344","E00068344",22
"2011","E00068321","E00068321",1609
"2011","E00068328","E00068328",21
"2011","E00068331","E00068331",23
"2011","E00068337","E00068337",18
"2011","E00068338","E00068338",21
"2011","E00068320","E00068320",22
"2011","E00068335","E00068335",19
"2011","E00068339","E00068339",11
"2011","E00068340","E00068340",34
"2011","E00068342","E00068342",236
"2011","E00068345","E00068345",23
"2011","E00068343","E00068343",18
"2011","E00068346","E00068346",22
"2011","E00068347","E00068347",107
"2011","E00068348","E00068348",428
"2011","E00068349","E00068349",1124
"2011","E00068279","E00068279",386
"2011","E00068293","E00068293",20
"2011","E00068295","E00068295",30
"2011","E00068301","E00068301",29
"2011","E00068302","E00068302",81
"2011","E00068304","E00068304",158
"2011","E00068289","E00068289",1034
"2011","E00068291","E00068291",145
"2011","E00068296","E00068296",28
"2011","E00068297","E00068297",1483
"2011","E00068299","E00068299",40
"2011","E00068300","E00068300",225
"2011","E00068298","E00068298",29
"2011","E00068303","E00068303",157
"2011","E00171214","E00171214",431
"2011","E00171215","E00171215",725
"2011","E00171217","E00171217",64
"2011","E00068277","E00068277",39
"2011","E00068285","E00068285",739
"2011","E00068286","E00068286",98
"2011","E00068287","E00068287",46
"2011","E00068294","E00068294",14
"2011","E00171216","E00171216",471
"2011","E00171220","E00171220",10
"2011","E00068398","E00068398",121
"2011","E00068399","E00068399",20
"2011","E00068428","E00068428",34
"2011","E00068429","E00068429",38
"2011","E00068433","E00068433",21
"2011","E00068405","E00068405",33
"2011","E00068406","E00068406",51
"2011","E00068407","E00068407",32
"2011","E00068408","E00068408",16
"2011","E00068432","E00068432",17
