"date","geography","geography code","Population: All usual residents aged 16 to 74; measures: Value"
"2011","E00082111","E00082111",261
"2011","E00082113","E00082113",164
"2011","E00082114","E00082114",161
"2011","E00082115","E00082115",28
"2011","E00082118","E00082118",134
"2011","E00082112","E00082112",71
"2011","E00082120","E00082120",47
"2011","E00082121","E00082121",47
"2011","E00082122","E00082122",50
"2011","E00082078","E00082078",33
"2011","E00082079","E00082079",105
"2011","E00082116","E00082116",85
"2011","E00082117","E00082117",145
"2011","E00082119","E00082119",291
"2011","E00166653","E00166653",92
"2011","E00166662","E00166662",21
"2011","E00166663","E00166663",46
"2011","E00166664","E00166664",33
"2011","E00166675","E00166675",22
"2011","E00166678","E00166678",51
"2011","E00081796","E00081796",48
"2011","E00081801","E00081801",44
"2011","E00081806","E00081806",64
"2011","E00081807","E00081807",112
"2011","E00081809","E00081809",315
"2011","E00166646","E00166646",171
"2011","E00166648","E00166648",1871
"2011","E00166658","E00166658",12
"2011","E00081794","E00081794",152
"2011","E00081795","E00081795",96
"2011","E00081800","E00081800",171
"2011","E00081804","E00081804",35
"2011","E00081808","E00081808",3406
"2011","E00081797","E00081797",106
"2011","E00081810","E00081810",140
"2011","E00081811","E00081811",39
"2011","E00081814","E00081814",1102
"2011","E00081815","E00081815",80
"2011","E00081790","E00081790",97
"2011","E00081791","E00081791",68
"2011","E00081798","E00081798",75
"2011","E00081799","E00081799",53
"2011","E00081812","E00081812",69
"2011","E00081792","E00081792",49
"2011","E00081793","E00081793",50
"2011","E00081802","E00081802",36
"2011","E00081803","E00081803",25
"2011","E00081813","E00081813",139
"2011","E00081816","E00081816",50
"2011","E00081818","E00081818",93
"2011","E00081823","E00081823",592
"2011","E00081831","E00081831",37
"2011","E00081832","E00081832",44
"2011","E00082044","E00082044",44
"2011","E00082045","E00082045",62
"2011","E00082047","E00082047",358
"2011","E00082051","E00082051",61
"2011","E00082067","E00082067",26
"2011","E00082071","E00082071",250
"2011","E00082075","E00082075",33
"2011","E00082080","E00082080",45
"2011","E00082081","E00082081",44
"2011","E00082066","E00082066",53
"2011","E00082072","E00082072",33
"2011","E00082074","E00082074",57
"2011","E00082076","E00082076",39
"2011","E00082077","E00082077",77
"2011","E00166654","E00166654",23
"2011","E00166656","E00166656",44
"2011","E00166657","E00166657",41
"2011","E00082070","E00082070",36
"2011","E00082073","E00082073",39
"2011","E00082082","E00082082",32
"2011","E00082089","E00082089",27
"2011","E00082090","E00082090",54
"2011","E00082068","E00082068",184
"2011","E00082069","E00082069",43
"2011","E00082083","E00082083",20
"2011","E00082084","E00082084",46
"2011","E00082086","E00082086",34
"2011","E00082087","E00082087",32
"2011","E00082042","E00082042",26
"2011","E00082043","E00082043",29
"2011","E00082056","E00082056",37
"2011","E00082057","E00082057",30
"2011","E00082058","E00082058",57
"2011","E00082046","E00082046",33
"2011","E00082054","E00082054",426
