"date","geography","geography code","Population: All usual residents aged 16 to 74; measures: Value"
"2011","E00062207","E00062207",80
"2011","E00062208","E00062208",77
"2011","E00062209","E00062209",28
"2011","E00062210","E00062210",158
"2011","E00062211","E00062211",34
"2011","E00062212","E00062212",184
"2011","E00174202","E00174202",59
"2011","E00174206","E00174206",383
"2011","E00174208","E00174208",274
"2011","E00062202","E00062202",135
"2011","E00062203","E00062203",64
"2011","E00062204","E00062204",39
"2011","E00062205","E00062205",24
"2011","E00062206","E00062206",26
"2011","E00062379","E00062379",111
"2011","E00062380","E00062380",83
"2011","E00062381","E00062381",188
"2011","E00062382","E00062382",6093
"2011","E00062383","E00062383",73
"2011","E00062384","E00062384",57
"2011","E00062385","E00062385",100
"2011","E00062386","E00062386",36
"2011","E00174203","E00174203",134
"2011","E00174204","E00174204",107
"2011","E00174205","E00174205",354
"2011","E00174207","E00174207",30
"2011","E00174210","E00174210",17
"2011","E00062133","E00062133",1619
"2011","E00062134","E00062134",40
"2011","E00062136","E00062136",22
"2011","E00174209","E00174209",436
"2011","E00174212","E00174212",33
"2011","E00062138","E00062138",81
"2011","E00062139","E00062139",29
"2011","E00062143","E00062143",147
"2011","E00062148","E00062148",24
"2011","E00062152","E00062152",113
"2011","E00062140","E00062140",133
"2011","E00062149","E00062149",32
"2011","E00062150","E00062150",15
"2011","E00062151","E00062151",17
"2011","E00062153","E00062153",19
"2011","E00062141","E00062141",21
"2011","E00062142","E00062142",25
"2011","E00062146","E00062146",24
"2011","E00062147","E00062147",55
"2011","E00062144","E00062144",23
"2011","E00062145","E00062145",22
"2011","E00062154","E00062154",31
"2011","E00062155","E00062155",24
"2011","E00062156","E00062156",219
"2011","E00062171","E00062171",17
"2011","E00062174","E00062174",15
"2011","E00062175","E00062175",35
"2011","E00062176","E00062176",18
"2011","E00062177","E00062177",14
"2011","E00062179","E00062179",65
"2011","E00062172","E00062172",26
"2011","E00062173","E00062173",34
"2011","E00062178","E00062178",316
"2011","E00062180","E00062180",29
"2011","E00062181","E00062181",46
"2011","E00062182","E00062182",24
"2011","E00062183","E00062183",26
"2011","E00062185","E00062185",56
"2011","E00062196","E00062196",17
"2011","E00062200","E00062200",15
"2011","E00062184","E00062184",71
"2011","E00062186","E00062186",75
"2011","E00062197","E00062197",14
"2011","E00062198","E00062198",53
"2011","E00062297","E00062297",14
"2011","E00062299","E00062299",56
"2011","E00062302","E00062302",168
"2011","E00062303","E00062303",60
"2011","E00062304","E00062304",74
"2011","E00062306","E00062306",586
"2011","E00062287","E00062287",28
"2011","E00062290","E00062290",41
"2011","E00062293","E00062293",32
"2011","E00062301","E00062301",78
"2011","E00062305","E00062305",9
"2011","E00062307","E00062307",16
"2011","E00062286","E00062286",19
"2011","E00062291","E00062291",21
"2011","E00062292","E00062292",25
"2011","E00062294","E00062294",14
"2011","E00062308","E00062308",29
"2011","E00062288","E00062288",234
"2011","E00062289","E00062289",29
"2011","E00062295","E00062295",12
"2011","E00062296","E00062296",13
"2011","E00062298","E00062298",36
