"origin","destination","start_time","end_time","distance_km","duration_mins","drive_time_mins","transit_time_mins","waiting_time_mins","transfers","journey_details"
"E00159423","E00172279","11:30:00","11:55:23",14.52,25.38,25.38,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:55:23"",""distance"":14516.58,""name"":""Origin"",""from_lat"":52.246,""from_lon"":-1.596,""to_lat"":52.183,""to_lon"":-1.691,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":25.38,""_row"":""Origin""}]"
"E00159760","E00172279","11:30:00","12:01:14",20.01,31.23,31.23,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:01:14"",""distance"":20008.31,""name"":""Origin"",""from_lat"":52.284,""from_lon"":-1.528,""to_lat"":52.183,""to_lon"":-1.691,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":31.23,""_row"":""Origin""}]"
"E00159247","E00159061","11:30:00","12:06:19",35.11,36.32,36.32,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:06:19"",""distance"":35112.95,""name"":""Origin"",""from_lat"":52.185,""from_lon"":-1.726,""to_lat"":52.234,""to_lon"":-1.449,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":36.32,""_row"":""Origin""}]"
"E00159247","E00159139","11:30:00","11:58:34",23.2,28.57,28.57,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:58:34"",""distance"":23196.34,""name"":""Origin"",""from_lat"":52.185,""from_lon"":-1.726,""to_lat"":52.061,""to_lon"":-1.63,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":28.57,""_row"":""Origin""}]"
"E00159247","E00159264","11:30:00","11:37:04",2.38,7.07,7.07,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:37:04"",""distance"":2380.84,""name"":""Origin"",""from_lat"":52.185,""from_lon"":-1.726,""to_lat"":52.2,""to_lon"":-1.737,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":7.07,""_row"":""Origin""}]"
"E00159247","E00159423","11:30:00","11:54:49",17.31,24.82,24.82,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:54:49"",""distance"":17306.55,""name"":""Origin"",""from_lat"":52.185,""from_lon"":-1.726,""to_lat"":52.246,""to_lon"":-1.596,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":24.82,""_row"":""Origin""}]"
"E00159247","E00159760","11:30:00","12:00:35",22.95,30.58,30.58,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:00:35"",""distance"":22952.19,""name"":""Origin"",""from_lat"":52.185,""from_lon"":-1.726,""to_lat"":52.284,""to_lon"":-1.528,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":30.58,""_row"":""Origin""}]"
"E00159354","E00159061","11:30:00","12:07:11",20.22,37.18,37.18,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:07:11"",""distance"":20216.47,""name"":""Origin"",""from_lat"":52.354,""from_lon"":-1.587,""to_lat"":52.234,""to_lon"":-1.449,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":37.18,""_row"":""Origin""}]"
"E00159354","E00159139","11:30:00","12:11:31",40.16,41.52,41.52,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:11:31"",""distance"":40164.92,""name"":""Origin"",""from_lat"":52.354,""from_lon"":-1.587,""to_lat"":52.061,""to_lon"":-1.63,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":41.52,""_row"":""Origin""}]"
"E00159354","E00159264","11:30:00","11:57:21",24.58,27.35,27.35,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:57:21"",""distance"":24584.71,""name"":""Origin"",""from_lat"":52.354,""from_lon"":-1.587,""to_lat"":52.2,""to_lon"":-1.737,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":27.35,""_row"":""Origin""}]"
"E00159354","E00159423","11:30:00","11:53:54",16.21,23.9,23.9,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:53:54"",""distance"":16213.53,""name"":""Origin"",""from_lat"":52.354,""from_lon"":-1.587,""to_lat"":52.246,""to_lon"":-1.596,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":23.9,""_row"":""Origin""}]"
"E00159354","E00159760","11:30:00","11:56:20",10.57,26.33,26.33,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:56:20"",""distance"":10569.42,""name"":""Origin"",""from_lat"":52.354,""from_lon"":-1.587,""to_lat"":52.284,""to_lon"":-1.528,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":26.33,""_row"":""Origin""}]"
"E00159543","E00159061","11:30:00","11:54:07",11.63,24.12,24.12,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:54:07"",""distance"":11627.69,""name"":""Origin"",""from_lat"":52.302,""from_lon"":-1.538,""to_lat"":52.234,""to_lon"":-1.449,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":24.12,""_row"":""Origin""}]"
"E00159543","E00159139","11:30:00","12:08:21",40.39,38.35,38.35,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:08:21"",""distance"":40389.67,""name"":""Origin"",""from_lat"":52.302,""from_lon"":-1.538,""to_lat"":52.061,""to_lon"":-1.63,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":38.35,""_row"":""Origin""}]"
"E00159543","E00159264","11:30:00","11:54:11",24.81,24.18,24.18,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:54:11"",""distance"":24809.46,""name"":""Origin"",""from_lat"":52.302,""from_lon"":-1.538,""to_lat"":52.2,""to_lon"":-1.737,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":24.18,""_row"":""Origin""}]"
"E00159543","E00159423","11:30:00","11:50:44",16.44,20.73,20.73,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:50:44"",""distance"":16438.28,""name"":""Origin"",""from_lat"":52.302,""from_lon"":-1.538,""to_lat"":52.246,""to_lon"":-1.596,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":20.73,""_row"":""Origin""}]"
"E00159543","E00159760","11:30:00","11:38:35",3.01,8.58,8.58,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:38:35"",""distance"":3008.33,""name"":""Origin"",""from_lat"":52.302,""from_lon"":-1.538,""to_lat"":52.284,""to_lon"":-1.528,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":8.58,""_row"":""Origin""}]"
"E00159570","E00159061","11:30:00","11:54:00",11.26,24,24,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:54:00"",""distance"":11261.33,""name"":""Origin"",""from_lat"":52.293,""from_lon"":-1.543,""to_lat"":52.234,""to_lon"":-1.449,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":24,""_row"":""Origin""}]"
"E00159570","E00159139","11:30:00","12:08:15",35.58,38.25,38.25,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:08:15"",""distance"":35579.31,""name"":""Origin"",""from_lat"":52.293,""from_lon"":-1.543,""to_lat"":52.061,""to_lon"":-1.63,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":38.25,""_row"":""Origin""}]"
"E00159570","E00159264","11:30:00","11:55:01",20.41,25.02,25.02,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:55:01"",""distance"":20408.41,""name"":""Origin"",""from_lat"":52.293,""from_lon"":-1.543,""to_lat"":52.2,""to_lon"":-1.737,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":25.02,""_row"":""Origin""}]"
"E00159570","E00159423","11:30:00","11:49:12",9.17,19.2,19.2,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:49:12"",""distance"":9169.2,""name"":""Origin"",""from_lat"":52.293,""from_lon"":-1.543,""to_lat"":52.246,""to_lon"":-1.596,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":19.2,""_row"":""Origin""}]"
"E00159570","E00159760","11:30:00","11:37:45",1.87,7.75,7.75,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:37:45"",""distance"":1871.28,""name"":""Origin"",""from_lat"":52.293,""from_lon"":-1.543,""to_lat"":52.284,""to_lon"":-1.528,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":7.75,""_row"":""Origin""}]"
"E00172279","E00159061","11:30:00","12:08:17",32.38,38.28,38.28,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:08:17"",""distance"":32376.23,""name"":""Origin"",""from_lat"":52.183,""from_lon"":-1.691,""to_lat"":52.234,""to_lon"":-1.449,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":38.28,""_row"":""Origin""}]"
"E00172279","E00159139","11:30:00","11:51:52",20.22,21.87,21.87,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:51:52"",""distance"":20220.52,""name"":""Origin"",""from_lat"":52.183,""from_lon"":-1.691,""to_lat"":52.061,""to_lon"":-1.63,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":21.87,""_row"":""Origin""}]"
"E00172279","E00159264","11:30:00","11:44:23",5.4,14.38,14.38,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:44:23"",""distance"":5402.7,""name"":""Origin"",""from_lat"":52.183,""from_lon"":-1.691,""to_lat"":52.2,""to_lon"":-1.737,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":14.38,""_row"":""Origin""}]"
"E00172279","E00159423","11:30:00","11:53:11",14.87,23.18,23.18,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:53:11"",""distance"":14871.54,""name"":""Origin"",""from_lat"":52.183,""from_lon"":-1.691,""to_lat"":52.246,""to_lon"":-1.596,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":23.18,""_row"":""Origin""}]"
"E00172279","E00159760","11:30:00","12:02:33",20.22,32.55,32.55,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:02:33"",""distance"":20215.46,""name"":""Origin"",""from_lat"":52.183,""from_lon"":-1.691,""to_lat"":52.284,""to_lon"":-1.528,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":32.55,""_row"":""Origin""}]"
