"origin","destination","start_time","end_time","distance_km","duration_mins","walk_time_mins","transit_time_mins","waiting_time_mins","transfers","journey_details"
"E00158976","E00159469","07:31:23","09:01:47",24.19,90.4,13.43,52,24.97,2,"[{""startTime"":""07:31:23"",""endTime"":""07:40:59"",""distance"":816.29,""name"":""Origin"",""from_lat"":52.2226,""from_lon"":-1.7621,""to_lat"":52.223,""to_lon"":-1.756,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":9.6,""_row"":""Origin""},{""startTime"":""07:41:00"",""endTime"":""08:03:00"",""distance"":16153.49,""name"":""Wilmcote"",""from_lat"":52.223,""from_lon"":-1.756,""to_lat"":52.2865,""to_lon"":-1.5818,""mode"":""RAIL"",""agencyName"":""Chiltern Railways"",""routeShortName"":""CH:SAV->MYB"",""duration"":22,""_row"":""Wilmcote""},{""startTime"":""08:03:00"",""endTime"":""08:04:52"",""distance"":164.58,""name"":""Warwick"",""from_lat"":52.2865,""from_lon"":-1.5818,""to_lat"":52.2875,""to_lon"":-1.5806,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":1.87,""_row"":""Warwick""},{""startTime"":""08:20:00"",""endTime"":""08:44:00"",""distance"":4796.68,""name"":""Park_Tavern..Opp...Lakin.Road..Warwick"",""from_lat"":52.2875,""from_lon"":-1.5806,""to_lat"":52.2926,""to_lon"":-1.5361,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""X17"",""duration"":24,""_row"":""Park_Tavern..Opp...Lakin.Road..Warwick""},{""startTime"":""08:44:00"",""endTime"":""08:44:12"",""distance"":14.02,""name"":""Upper_Parade..Stand.F...Parade..Leamington.Spa"",""from_lat"":52.2926,""from_lon"":-1.5361,""to_lat"":52.2925,""to_lon"":-1.5361,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":0.2,""_row"":""Upper_Parade..Stand.F...Parade..Leamington.Spa""},{""startTime"":""08:54:00"",""endTime"":""09:00:00"",""distance"":2101.94,""name"":""Upper_Parade..Stand.E...Parade..Leamington.Spa"",""from_lat"":52.2925,""from_lon"":-1.5361,""to_lat"":52.3007,""to_lon"":-1.5148,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""67A"",""duration"":6,""_row"":""Upper_Parade..Stand.E...Parade..Leamington.Spa""},{""startTime"":""09:00:01"",""endTime"":""09:01:47"",""distance"":145.73,""name"":""Denby_Close..Adj...Mason.Avenue..Leamington.Spa"",""from_lat"":52.3007,""from_lon"":-1.5148,""to_lat"":52.2999,""to_lon"":-1.5152,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":1.77,""_row"":""Denby_Close..Adj...Mason.Avenue..Leamington.Spa""}]"
"E00159240","E00159469",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159252","E00159469",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159577","E00159469",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00172326","E00159469","07:38:02","08:22:47",7.6,44.75,7.72,31,6.03,1,"[{""startTime"":""07:38:02"",""endTime"":""07:43:59"",""distance"":484.9,""name"":""Origin"",""from_lat"":52.286,""from_lon"":-1.5927,""to_lat"":52.2837,""to_lon"":-1.5898,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":5.95,""_row"":""Origin""},{""startTime"":""07:44:00"",""endTime"":""08:01:00"",""distance"":4600.44,""name"":""Northgate_Methodist.Church..Opp...North.Rock..Warwick"",""from_lat"":52.2837,""from_lon"":-1.5898,""to_lat"":52.2901,""to_lon"":-1.5357,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""X18"",""duration"":17,""_row"":""Northgate_Methodist.Church..Opp...North.Rock..Warwick""},{""startTime"":""08:07:00"",""endTime"":""08:21:00"",""distance"":2372.62,""name"":""Regent_Street..Adj...Leamington.Spa"",""from_lat"":52.2901,""from_lon"":-1.5357,""to_lat"":52.3007,""to_lon"":-1.5148,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""67"",""duration"":14,""_row"":""Regent_Street..Adj...Leamington.Spa""},{""startTime"":""08:21:01"",""endTime"":""08:22:47"",""distance"":145.73,""name"":""Denby_Close..Adj...Mason.Avenue..Leamington.Spa"",""from_lat"":52.3007,""from_lon"":-1.5148,""to_lat"":52.2999,""to_lon"":-1.5152,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":1.77,""_row"":""Denby_Close..Adj...Mason.Avenue..Leamington.Spa""}]"
"E00158976","E00159665","07:31:23","08:19:25",19.04,48.03,18.17,27,2.87,1,"[{""startTime"":""07:31:23"",""endTime"":""07:40:59"",""distance"":816.29,""name"":""Origin"",""from_lat"":52.2226,""from_lon"":-1.7621,""to_lat"":52.223,""to_lon"":-1.756,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":9.6,""_row"":""Origin""},{""startTime"":""07:41:00"",""endTime"":""08:03:00"",""distance"":16153.49,""name"":""Wilmcote"",""from_lat"":52.223,""from_lon"":-1.756,""to_lat"":52.2865,""to_lon"":-1.5818,""mode"":""RAIL"",""agencyName"":""Chiltern Railways"",""routeShortName"":""CH:SAV->MYB"",""duration"":22,""_row"":""Wilmcote""},{""startTime"":""08:03:00"",""endTime"":""08:08:10"",""distance"":461.47,""name"":""Warwick"",""from_lat"":52.2865,""from_lon"":-1.5818,""to_lat"":52.2843,""to_lon"":-1.5793,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":5.17,""_row"":""Warwick""},{""startTime"":""08:11:00"",""endTime"":""08:16:00"",""distance"":1326.7,""name"":""Guy_Street..Adj...Warwick"",""from_lat"":52.2843,""from_lon"":-1.5793,""to_lat"":52.2889,""to_lon"":-1.5614,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""X17"",""duration"":5,""_row"":""Guy_Street..Adj...Warwick""},{""startTime"":""08:16:01"",""endTime"":""08:19:25"",""distance"":284.14,""name"":""Portobello_Bridge..Adj...Emscote.Road..Warwick"",""from_lat"":52.2889,""from_lon"":-1.5614,""to_lat"":52.2913,""to_lon"":-1.5621,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":3.4,""_row"":""Portobello_Bridge..Adj...Emscote.Road..Warwick""}]"
"E00159240","E00159665",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159252","E00159665",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159577","E00159665",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00172326","E00159665","07:33:11","07:53:25",4.56,20.23,7.2,13,0.03,0,"[{""startTime"":""07:33:11"",""endTime"":""07:36:59"",""distance"":303.59,""name"":""Origin"",""from_lat"":52.286,""from_lon"":-1.5927,""to_lat"":52.2885,""to_lon"":-1.5938,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":3.8,""_row"":""Origin""},{""startTime"":""07:37:00"",""endTime"":""07:50:00"",""distance"":3973.01,""name"":""Hospital_.Adj...St.Michaels.Road..Warwick"",""from_lat"":52.2885,""from_lon"":-1.5938,""to_lat"":52.2889,""to_lon"":-1.5614,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""1"",""duration"":13,""_row"":""Hospital_.Adj...St.Michaels.Road..Warwick""},{""startTime"":""07:50:01"",""endTime"":""07:53:25"",""distance"":284.14,""name"":""Portobello_Bridge..Adj...Emscote.Road..Warwick"",""from_lat"":52.2889,""from_lon"":-1.5614,""to_lat"":52.2913,""to_lon"":-1.5621,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":3.4,""_row"":""Portobello_Bridge..Adj...Emscote.Road..Warwick""}]"
"E00159246","E00158976",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159246","E00159240","07:30:00","07:39:46",0.83,9.77,9.77,0,0,0,"[{""startTime"":""07:30:00"",""endTime"":""07:39:46"",""distance"":829.44,""name"":""Origin"",""from_lat"":52.1838,""from_lon"":-1.7205,""to_lat"":52.188,""to_lon"":-1.725,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":9.77,""_row"":""Origin""}]"
"E00159246","E00159252",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159246","E00159577",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159246","E00172326",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159376","E00158976",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159376","E00159240",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159376","E00159252",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159376","E00159577",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159376","E00172326","07:30:26","08:29:17",14.18,58.85,5.82,53,0.03,0,"[{""startTime"":""07:30:26"",""endTime"":""07:32:59"",""distance"":212.14,""name"":""Origin"",""from_lat"":52.3476,""from_lon"":-1.5727,""to_lat"":52.3476,""to_lon"":-1.5746,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":2.55,""_row"":""Origin""},{""startTime"":""07:33:00"",""endTime"":""08:26:00"",""distance"":13691.27,""name"":""Spring_Lane..Adj...Kenilworth"",""from_lat"":52.3476,""from_lon"":-1.5746,""to_lat"":52.2876,""to_lon"":-1.5915,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""X17"",""duration"":53,""_row"":""Spring_Lane..Adj...Kenilworth""},{""startTime"":""08:26:01"",""endTime"":""08:29:17"",""distance"":275.59,""name"":""Newburgh_Road..Opp...Warwick"",""from_lat"":52.2876,""from_lon"":-1.5915,""to_lat"":52.286,""to_lon"":-1.5927,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":3.27,""_row"":""Newburgh_Road..Opp...Warwick""}]"
"E00159424","E00158976","07:44:36","08:44:38",17.38,60.03,14.1,23,22.93,2,"[{""startTime"":""07:44:36"",""endTime"":""07:44:59"",""distance"":34.19,""name"":""Origin"",""from_lat"":52.2766,""from_lon"":-1.6307,""to_lat"":52.2765,""to_lon"":-1.6322,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":0.38,""_row"":""Origin""},{""startTime"":""07:45:00"",""endTime"":""07:50:00"",""distance"":1746.8,""name"":""Village_Hall..Opp...Woodway..Hampton.on.the.Hill"",""from_lat"":52.2765,""from_lon"":-1.6322,""to_lat"":52.2864,""to_lon"":-1.6129,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""16"",""duration"":5,""_row"":""Village_Hall..Opp...Woodway..Hampton.on.the.Hill""},{""startTime"":""07:50:00"",""endTime"":""07:54:06"",""distance"":365.05,""name"":""Warwick_Parkway.Rail.Station..Adj...Private.Road..Warwick"",""from_lat"":52.2864,""from_lon"":-1.6129,""to_lat"":52.2861,""to_lon"":-1.6121,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":4.1,""_row"":""Warwick_Parkway.Rail.Station..Adj...Private.Road..Warwick""},{""startTime"":""08:07:00"",""endTime"":""08:11:00"",""distance"":4267.25,""name"":""Warwick_Parkway"",""from_lat"":52.2861,""from_lon"":-1.6121,""to_lat"":52.2953,""to_lon"":-1.673,""mode"":""RAIL"",""agencyName"":""London Midland"",""routeShortName"":""LM:LMS->BSW"",""duration"":4,""_row"":""Warwick_Parkway""},{""startTime"":""08:21:00"",""endTime"":""08:35:00"",""distance"":10147.93,""name"":""Hatton_.Warks."",""from_lat"":52.2953,""from_lon"":-1.673,""to_lat"":52.223,""to_lon"":-1.756,""mode"":""RAIL"",""agencyName"":""Chiltern Railways"",""routeShortName"":""CH:MYB->SAV"",""duration"":14,""_row"":""Hatton_.Warks.""},{""startTime"":""08:35:01"",""endTime"":""08:44:38"",""distance"":816.29,""name"":""Wilmcote"",""from_lat"":52.223,""from_lon"":-1.756,""to_lat"":52.2226,""to_lon"":-1.7621,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":9.62,""_row"":""Wilmcote""}]"
"E00159424","E00159240","07:44:36","09:11:05",23.07,86.48,15.27,36,35.22,3,"[{""startTime"":""07:44:36"",""endTime"":""07:44:59"",""distance"":34.19,""name"":""Origin"",""from_lat"":52.2766,""from_lon"":-1.6307,""to_lat"":52.2765,""to_lon"":-1.6322,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":0.38,""_row"":""Origin""},{""startTime"":""07:45:00"",""endTime"":""07:50:00"",""distance"":1746.8,""name"":""Village_Hall..Opp...Woodway..Hampton.on.the.Hill"",""from_lat"":52.2765,""from_lon"":-1.6322,""to_lat"":52.2864,""to_lon"":-1.6129,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""16"",""duration"":5,""_row"":""Village_Hall..Opp...Woodway..Hampton.on.the.Hill""},{""startTime"":""07:50:00"",""endTime"":""07:54:06"",""distance"":365.05,""name"":""Warwick_Parkway.Rail.Station..Adj...Private.Road..Warwick"",""from_lat"":52.2864,""from_lon"":-1.6129,""to_lat"":52.2861,""to_lon"":-1.6121,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":4.1,""_row"":""Warwick_Parkway.Rail.Station..Adj...Private.Road..Warwick""},{""startTime"":""08:07:00"",""endTime"":""08:11:00"",""distance"":4267.25,""name"":""Warwick_Parkway"",""from_lat"":52.2861,""from_lon"":-1.6121,""to_lat"":52.2953,""to_lon"":-1.673,""mode"":""RAIL"",""agencyName"":""London Midland"",""routeShortName"":""LM:LMS->BSW"",""duration"":4,""_row"":""Warwick_Parkway""},{""startTime"":""08:21:00"",""endTime"":""08:46:00"",""distance"":14346.72,""name"":""Hatton_.Warks."",""from_lat"":52.2953,""from_lon"":-1.673,""to_lat"":52.1942,""to_lon"":-1.7163,""mode"":""RAIL"",""agencyName"":""Chiltern Railways"",""routeShortName"":""CH:MYB->SAV"",""duration"":25,""_row"":""Hatton_.Warks.""},{""startTime"":""08:46:00"",""endTime"":""08:52:43"",""distance"":601.22,""name"":""Stratford_upon.Avon"",""from_lat"":52.1942,""from_lon"":-1.7163,""to_lat"":52.1923,""to_lon"":-1.7102,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":6.72,""_row"":""Stratford_upon.Avon""},{""startTime"":""09:05:00"",""endTime"":""09:07:00"",""distance"":1357.61,""name"":""Civic_Hall..Opp...Rother.Street..Stratford.upon.Avon"",""from_lat"":52.1923,""from_lon"":-1.7102,""to_lat"":52.186,""to_lon"":-1.7261,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""X18"",""duration"":2,""_row"":""Civic_Hall..Opp...Rother.Street..Stratford.upon.Avon""},{""startTime"":""09:07:01"",""endTime"":""09:11:05"",""distance"":347.84,""name"":""Hathaway_Lane..Opp...Stratford.upon.Avon"",""from_lat"":52.186,""from_lon"":-1.7261,""to_lat"":52.188,""to_lon"":-1.725,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":4.07,""_row"":""Hathaway_Lane..Opp...Stratford.upon.Avon""}]"
"E00159424","E00159252","07:44:36","08:50:34",21.13,65.97,9.03,34,22.93,2,"[{""startTime"":""07:44:36"",""endTime"":""07:44:59"",""distance"":34.19,""name"":""Origin"",""from_lat"":52.2766,""from_lon"":-1.6307,""to_lat"":52.2765,""to_lon"":-1.6322,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":0.38,""_row"":""Origin""},{""startTime"":""07:45:00"",""endTime"":""07:50:00"",""distance"":1746.8,""name"":""Village_Hall..Opp...Woodway..Hampton.on.the.Hill"",""from_lat"":52.2765,""from_lon"":-1.6322,""to_lat"":52.2864,""to_lon"":-1.6129,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""16"",""duration"":5,""_row"":""Village_Hall..Opp...Woodway..Hampton.on.the.Hill""},{""startTime"":""07:50:00"",""endTime"":""07:54:06"",""distance"":365.05,""name"":""Warwick_Parkway.Rail.Station..Adj...Private.Road..Warwick"",""from_lat"":52.2864,""from_lon"":-1.6129,""to_lat"":52.2861,""to_lon"":-1.6121,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":4.1,""_row"":""Warwick_Parkway.Rail.Station..Adj...Private.Road..Warwick""},{""startTime"":""08:07:00"",""endTime"":""08:11:00"",""distance"":4267.25,""name"":""Warwick_Parkway"",""from_lat"":52.2861,""from_lon"":-1.6121,""to_lat"":52.2953,""to_lon"":-1.673,""mode"":""RAIL"",""agencyName"":""London Midland"",""routeShortName"":""LM:LMS->BSW"",""duration"":4,""_row"":""Warwick_Parkway""},{""startTime"":""08:21:00"",""endTime"":""08:46:00"",""distance"":14346.72,""name"":""Hatton_.Warks."",""from_lat"":52.2953,""from_lon"":-1.673,""to_lat"":52.1942,""to_lon"":-1.7163,""mode"":""RAIL"",""agencyName"":""Chiltern Railways"",""routeShortName"":""CH:MYB->SAV"",""duration"":25,""_row"":""Hatton_.Warks.""},{""startTime"":""08:46:01"",""endTime"":""08:50:34"",""distance"":368.32,""name"":""Stratford_upon.Avon"",""from_lat"":52.1942,""from_lon"":-1.7163,""to_lat"":52.1923,""to_lon"":-1.7148,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":4.55,""_row"":""Stratford_upon.Avon""}]"
"E00159424","E00159577","07:44:36","09:15:56",18.33,91.33,8.27,62,21.07,2,"[{""startTime"":""07:44:36"",""endTime"":""07:44:59"",""distance"":34.19,""name"":""Origin"",""from_lat"":52.2766,""from_lon"":-1.6307,""to_lat"":52.2765,""to_lon"":-1.6322,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":0.38,""_row"":""Origin""},{""startTime"":""07:45:00"",""endTime"":""07:50:00"",""distance"":1746.8,""name"":""Village_Hall..Opp...Woodway..Hampton.on.the.Hill"",""from_lat"":52.2765,""from_lon"":-1.6322,""to_lat"":52.2864,""to_lon"":-1.6129,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""16"",""duration"":5,""_row"":""Village_Hall..Opp...Woodway..Hampton.on.the.Hill""},{""startTime"":""07:50:00"",""endTime"":""07:54:06"",""distance"":365.05,""name"":""Warwick_Parkway.Rail.Station..Adj...Private.Road..Warwick"",""from_lat"":52.2864,""from_lon"":-1.6129,""to_lat"":52.2861,""to_lon"":-1.6121,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":4.1,""_row"":""Warwick_Parkway.Rail.Station..Adj...Private.Road..Warwick""},{""startTime"":""08:00:00"",""endTime"":""08:03:00"",""distance"":2055.46,""name"":""Warwick_Parkway"",""from_lat"":52.2861,""from_lon"":-1.6121,""to_lat"":52.2865,""to_lon"":-1.5818,""mode"":""RAIL"",""agencyName"":""Chiltern Railways"",""routeShortName"":""CH:SAV->MYB"",""duration"":3,""_row"":""Warwick_Parkway""},{""startTime"":""08:03:00"",""endTime"":""08:04:52"",""distance"":164.58,""name"":""Warwick"",""from_lat"":52.2865,""from_lon"":-1.5818,""to_lat"":52.2875,""to_lon"":-1.5806,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":1.87,""_row"":""Warwick""},{""startTime"":""08:20:00"",""endTime"":""09:14:00"",""distance"":13808.08,""name"":""Park_Tavern..Opp...Lakin.Road..Warwick"",""from_lat"":52.2875,""from_lon"":-1.5806,""to_lat"":52.3493,""to_lon"":-1.5574,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""X17"",""duration"":54,""_row"":""Park_Tavern..Opp...Lakin.Road..Warwick""},{""startTime"":""09:14:01"",""endTime"":""09:15:56"",""distance"":157.89,""name"":""Saville_Grove..Adj...Rawnsley.Drive..Kenilworth"",""from_lat"":52.3493,""from_lon"":-1.5574,""to_lat"":52.3491,""to_lon"":-1.5589,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":1.92,""_row"":""Saville_Grove..Adj...Rawnsley.Drive..Kenilworth""}]"
