"origin","destination","start_time","end_time","distance_km","duration_mins","walk_time_mins","transit_time_mins","waiting_time_mins","transfers","journey_details"
"E00158976","E00159246",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159240","E00159246","07:30:00","07:39:46",0.83,9.77,9.77,0,0,0,"[{""startTime"":""07:30:00"",""endTime"":""07:39:46"",""distance"":829.44,""name"":""Origin"",""from_lat"":52.188,""from_lon"":-1.725,""to_lat"":52.1838,""to_lon"":-1.7205,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":9.77,""_row"":""Origin""}]"
"E00159252","E00159246","07:43:04","08:01:51",1.78,18.78,18.75,0,0.03,0,"[{""startTime"":""07:43:04"",""endTime"":""07:52:59"",""distance"":846.72,""name"":""Origin"",""from_lat"":52.1923,""from_lon"":-1.7148,""to_lat"":52.1873,""to_lon"":-1.7194,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":9.92,""_row"":""Origin""},{""startTime"":""07:53:00"",""endTime"":""07:53:00"",""distance"":167.96,""name"":""Bordon_Place..Opp...Evesham.Road..Stratford.upon.Avon"",""from_lat"":52.1873,""from_lon"":-1.7194,""to_lat"":52.1877,""to_lon"":-1.717,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""X18"",""duration"":0,""_row"":""Bordon_Place..Opp...Evesham.Road..Stratford.upon.Avon""},{""startTime"":""07:53:01"",""endTime"":""08:01:51"",""distance"":762.79,""name"":""Salmon_Tail..Opp...Evesham.Road..Stratford.upon.Avon"",""from_lat"":52.1877,""from_lon"":-1.717,""to_lat"":52.1838,""to_lon"":-1.7205,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":8.83,""_row"":""Salmon_Tail..Opp...Evesham.Road..Stratford.upon.Avon""}]"
"E00159577","E00159246",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00172326","E00159246",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00158976","E00159376","07:31:23","09:11:42",29.53,100.32,14.15,71,15.17,1,"[{""startTime"":""07:31:23"",""endTime"":""07:40:59"",""distance"":816.29,""name"":""Origin"",""from_lat"":52.2226,""from_lon"":-1.7621,""to_lat"":52.223,""to_lon"":-1.756,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":9.6,""_row"":""Origin""},{""startTime"":""07:41:00"",""endTime"":""08:03:00"",""distance"":16153.49,""name"":""Wilmcote"",""from_lat"":52.223,""from_lon"":-1.756,""to_lat"":52.2865,""to_lon"":-1.5818,""mode"":""RAIL"",""agencyName"":""Chiltern Railways"",""routeShortName"":""CH:SAV->MYB"",""duration"":22,""_row"":""Wilmcote""},{""startTime"":""08:03:00"",""endTime"":""08:04:52"",""distance"":164.58,""name"":""Warwick"",""from_lat"":52.2865,""from_lon"":-1.5818,""to_lat"":52.2875,""to_lon"":-1.5806,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":1.87,""_row"":""Warwick""},{""startTime"":""08:20:00"",""endTime"":""09:09:00"",""distance"":12171.16,""name"":""Park_Tavern..Opp...Lakin.Road..Warwick"",""from_lat"":52.2875,""from_lon"":-1.5806,""to_lat"":52.3478,""to_lon"":-1.5747,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""X17"",""duration"":49,""_row"":""Park_Tavern..Opp...Lakin.Road..Warwick""},{""startTime"":""09:09:01"",""endTime"":""09:11:42"",""distance"":224.7,""name"":""Henry_Street..Adj...Kenilworth"",""from_lat"":52.3478,""from_lon"":-1.5747,""to_lat"":52.3476,""to_lon"":-1.5727,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":2.68,""_row"":""Henry_Street..Adj...Kenilworth""}]"
"E00159240","E00159376",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159252","E00159376",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159577","E00159376",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00172326","E00159376","07:38:02","08:27:42",12.97,49.67,8.63,36,5.03,1,"[{""startTime"":""07:38:02"",""endTime"":""07:43:59"",""distance"":484.9,""name"":""Origin"",""from_lat"":52.286,""from_lon"":-1.5927,""to_lat"":52.2837,""to_lon"":-1.5898,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":5.95,""_row"":""Origin""},{""startTime"":""07:44:00"",""endTime"":""08:11:00"",""distance"":9455.36,""name"":""Northgate_Methodist.Church..Opp...North.Rock..Warwick"",""from_lat"":52.2837,""from_lon"":-1.5898,""to_lat"":52.3288,""to_lon"":-1.5604,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""X18"",""duration"":27,""_row"":""Northgate_Methodist.Church..Opp...North.Rock..Warwick""},{""startTime"":""08:16:00"",""endTime"":""08:25:00"",""distance"":2804.26,""name"":""Chesford_Crossroads..Adj...Leamington.Road..Kenilworth"",""from_lat"":52.3288,""from_lon"":-1.5604,""to_lat"":52.3478,""to_lon"":-1.5747,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""X17"",""duration"":9,""_row"":""Chesford_Crossroads..Adj...Leamington.Road..Kenilworth""},{""startTime"":""08:25:01"",""endTime"":""08:27:42"",""distance"":224.7,""name"":""Henry_Street..Adj...Kenilworth"",""from_lat"":52.3478,""from_lon"":-1.5747,""to_lat"":52.3476,""to_lon"":-1.5727,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":2.68,""_row"":""Henry_Street..Adj...Kenilworth""}]"
"E00158976","E00159424",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159240","E00159424",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159252","E00159424",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159577","E00159424",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00172326","E00159424",NA,NA,NA,NA,NA,NA,NA,NA,NA
