"origin","destination","start_time","end_time","distance_km","duration_mins","walk_time_mins","transit_time_mins","waiting_time_mins","transfers","journey_details"
"E00016705","E00023597","07:42:00","08:56:00",25.28,74,0,57,17,3,"[{""startTime"":""07:42:00"",""endTime"":""08:04:00"",""distance"":8920.32,""name"":""New_Cross"",""from_lat"":51.4763,""from_lon"":-0.0324,""to_lat"":51.5461,""to_lon"":-0.0751,""mode"":""RAIL"",""agencyName"":""London Overground"",""routeShortName"":""LO:NWX->DLJ"",""duration"":22,""_row"":""New_Cross""},{""startTime"":""08:09:00"",""endTime"":""08:11:00"",""distance"":1214.18,""name"":""Dalston_Junction"",""from_lat"":51.5461,""from_lon"":-0.0751,""to_lat"":51.5487,""to_lon"":-0.0922,""mode"":""RAIL"",""agencyName"":""London Overground"",""routeShortName"":""LO:CYP->HHY"",""duration"":2,""_row"":""Dalston_Junction""},{""startTime"":""08:18:00"",""endTime"":""08:46:00"",""distance"":12338.84,""name"":""Canonbury"",""from_lat"":51.5487,""from_lon"":-0.0922,""to_lat"":51.5325,""to_lon"":-0.2446,""mode"":""RAIL"",""agencyName"":""London Overground"",""routeShortName"":""LO:SRA->CLJ"",""duration"":28,""_row"":""Canonbury""},{""startTime"":""08:51:00"",""endTime"":""08:56:00"",""distance"":2806.01,""name"":""Willesden_Junction"",""from_lat"":51.5325,""from_lon"":-0.2446,""to_lat"":51.534,""to_lon"":-0.205,""mode"":""RAIL"",""agencyName"":""London Overground"",""routeShortName"":""LO:WFJ->EUS"",""duration"":5,""_row"":""Willesden_Junction""}]"
"E00032715","E00023597","07:43:00","11:37:00",312.07,234,0,160,74,3,"[{""startTime"":""07:43:00"",""endTime"":""07:58:00"",""distance"":11083.92,""name"":""Kirkby"",""from_lat"":53.4862,""from_lon"":-2.9028,""to_lat"":53.4086,""to_lon"":-2.9892,""mode"":""RAIL"",""agencyName"":""Merseyrail"",""routeShortName"":""ME:KIR->LVC"",""duration"":15,""_row"":""Kirkby""},{""startTime"":""08:11:00"",""endTime"":""08:13:00"",""distance"":772.24,""name"":""Moorfields"",""from_lat"":53.4086,""from_lon"":-2.9892,""to_lat"":53.4073,""to_lon"":-2.9777,""mode"":""RAIL"",""agencyName"":""Merseyrail"",""routeShortName"":""ME:ELP->CTR"",""duration"":2,""_row"":""Moorfields""},{""startTime"":""08:47:00"",""endTime"":""11:01:00"",""distance"":294781.61,""name"":""Liverpool_Lime.Street"",""from_lat"":53.4073,""from_lon"":-2.9777,""to_lat"":51.5281,""to_lon"":-0.1339,""mode"":""RAIL"",""agencyName"":""Virgin Trains"",""routeShortName"":""VT:LIV->EUS"",""duration"":134,""_row"":""Liverpool_Lime.Street""},{""startTime"":""11:28:00"",""endTime"":""11:37:00"",""distance"":5430.82,""name"":""London_Euston"",""from_lat"":51.5281,""from_lon"":-0.1339,""to_lat"":51.534,""to_lon"":-0.205,""mode"":""RAIL"",""agencyName"":""London Overground"",""routeShortName"":""LO:EUS->WFJ"",""duration"":9,""_row"":""London_Euston""}]"
"E00061379","E00023597",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00116242","E00023597",NA,NA,NA,NA,NA,NA,NA,NA,NA
"W00010265","E00023597",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00016705","E00064726",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00032715","E00064726",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00061379","E00064726",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00116242","E00064726",NA,NA,NA,NA,NA,NA,NA,NA,NA
"W00010265","E00064726",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00016705","E00150694",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00032715","E00150694",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00061379","E00150694",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00116242","E00150694",NA,NA,NA,NA,NA,NA,NA,NA,NA
"W00010265","E00150694",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00016705","S00118905",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00032715","S00118905",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00061379","S00118905",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00116242","S00118905",NA,NA,NA,NA,NA,NA,NA,NA,NA
"W00010265","S00118905",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00016705","S00119910",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00032715","S00119910","07:36:00","12:34:00",363.61,298,0,233,65,3,"[{""startTime"":""07:36:00"",""endTime"":""08:08:00"",""distance"":23287.24,""name"":""Kirkby"",""from_lat"":53.4862,""from_lon"":-2.9028,""to_lat"":53.5422,""to_lon"":-2.5755,""mode"":""RAIL"",""agencyName"":""Northern Rail"",""routeShortName"":""NT:KIR->MCV"",""duration"":32,""_row"":""Kirkby""},{""startTime"":""08:26:00"",""endTime"":""08:33:00"",""distance"":3820.38,""name"":""Hindley"",""from_lat"":53.5422,""from_lon"":-2.5755,""to_lat"":53.5437,""to_lon"":-2.6333,""mode"":""RAIL"",""agencyName"":""Northern Rail"",""routeShortName"":""NT:SYB->WGN"",""duration"":7,""_row"":""Hindley""},{""startTime"":""08:38:00"",""endTime"":""11:15:00"",""distance"":298810.11,""name"":""Wigan_North.Western"",""from_lat"":53.5437,""from_lon"":-2.6333,""to_lat"":55.8598,""to_lon"":-4.2576,""mode"":""RAIL"",""agencyName"":""Virgin Trains"",""routeShortName"":""VT:BHM->GLC"",""duration"":157,""_row"":""Wigan_North.Western""},{""startTime"":""11:57:00"",""endTime"":""12:34:00"",""distance"":37688.69,""name"":""Glasgow_Central"",""from_lat"":55.8598,""from_lon"":-4.2576,""to_lat"":55.9406,""to_lon"":-4.8036,""mode"":""RAIL"",""agencyName"":""ScotRail"",""routeShortName"":""SR:GLC->WMS"",""duration"":37,""_row"":""Glasgow_Central""}]"
"E00061379","S00119910",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00116242","S00119910",NA,NA,NA,NA,NA,NA,NA,NA,NA
"W00010265","S00119910",NA,NA,NA,NA,NA,NA,NA,NA,NA
