"origin","destination","start_time","end_time","distance_km","duration_mins","walk_time_mins","transit_time_mins","waiting_time_mins","transfers","journey_details"
"E00159061","E00159247",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159139","E00159247",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159264","E00159247",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159423","E00159247",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159760","E00159247",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159061","E00159354",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159139","E00159354",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159264","E00159354",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159423","E00159354",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159760","E00159354",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159061","E00159543",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159139","E00159543",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159264","E00159543",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159423","E00159543",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159760","E00159543","07:36:32","07:57:13",2.58,20.68,10.65,10,0.03,0,"[{""startTime"":""07:36:32"",""endTime"":""07:43:59"",""distance"":606.48,""name"":""Origin"",""from_lat"":52.284,""from_lon"":-1.528,""to_lat"":52.2862,""to_lon"":-1.5333,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":7.45,""_row"":""Origin""},{""startTime"":""07:44:00"",""endTime"":""07:54:00"",""distance"":1703.79,""name"":""Parish_Church.Stand.B..Opp...Victoria.Terrace..Leamington.Spa"",""from_lat"":52.2862,""from_lon"":-1.5333,""to_lat"":52.3011,""to_lon"":-1.5367,""mode"":""BUS"",""agencyName"":""Stagecoach Midlands"",""routeShortName"":""U2"",""duration"":10,""_row"":""Parish_Church.Stand.B..Opp...Victoria.Terrace..Leamington.Spa""},{""startTime"":""07:54:01"",""endTime"":""07:57:13"",""distance"":272.4,""name"":""Woodcote_Road..Adj...Leamington.Spa"",""from_lat"":52.3011,""from_lon"":-1.5367,""to_lat"":52.302,""to_lon"":-1.538,""mode"":""WALK"",""agencyName"":""WALK"",""routeShortName"":""WALK"",""duration"":3.2,""_row"":""Woodcote_Road..Adj...Leamington.Spa""}]"
"E00159061","E00159570",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159139","E00159570",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159264","E00159570",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E00159423","E00159570",NA,NA,NA,NA,NA,NA,NA,NA,NA
