LSOAN05CD,LSOAN05NM,FID
95XX08S2,Bryansburn 2,823
95XX09S1,Churchill 1,824
95XX09S2,Churchill 2,825
95XX10S1,Clandeboye 1,826
95XX10S2,Clandeboye 2,827
95XX10S3,Clandeboye 3,828
95XX11S1,Conlig 1,829
95XX11S2,Conlig 2,830
95XX11S3,Conlig 3,831
95XX12W1,Craigavad,832
95XX13W1,Crawfordsburn,833
95XX14W1,Cultra,834
95XX15W1,Dufferin,835
95XX16W1,Groomsport,836
95XX17S1,Harbour 1,837
95XX17S2,Harbour 2,838
95XX18W1,Holywood Demesne,839
95XX19W1,Holywood Priory,840
95XX20S1,Loughview 1,841
95XX20S2,Loughview 2,842
95XX21W1,Princetown,843
95XX22W1,Rathgael,844
95XX23W1,Silverstream,845
95XX24S1,Springhill 1,846
95XX24S2,Springhill 2,847
95XX25W1,Whitehill,848
95YY01W1,Beragh,849
95YY02W1,Camowen,850
95YY03W1,Clanabogan,851
95YY04W1,Coolnagard,852
95YY05W1,Dergmoney,853
95YY06W1,Dromore,854
95YY07W1,Drumnakilly,855
95YY08W1,Drumquin,856
95YY09W1,Drumragh,857
95YY10W1,Fairy Water,858
95YY11W1,Fintona,859
95YY12W1,Gortin,860
95YY13S1,Gortrush 1,861
95YY13S2,Gortrush 2,862
95YY14S1,Killyclogher 1,863
95YY14S2,Killyclogher 2,864
95YY15S1,Lisanelly 1,865
95YY15S2,Lisanelly 2,866
95YY16W1,Newtownsaville,867
95YY17W1,Owenkillew,868
95YY18W1,Sixmilecross,869
95YY19W1,Strule,870
95YY20W1,Termon,871
95YY21W1,Trillick,872
95ZZ01W1,Artigarvan,873
95ZZ02W1,Ballycolman,874
95ZZ03W1,Castlederg,875
95ZZ04W1,Clare,876
95ZZ05W1,Dunnamanagh,877
95ZZ06W1,East,878
95ZZ07W1,Finn,879
95ZZ08W1,Glenderg,880
95ZZ09W1,Newtownstewart,881
95ZZ10W1,North,882
95ZZ11W1,Plumbridge,883
95ZZ12W1,Sion Mills,884
95ZZ13W1,Slievekirk,885
95ZZ14S1,South 1,886
95ZZ14S2,South 2,887
95ZZ15W1,Victoria Bridge,888
95ZZ16S1,West 1,889
95ZZ16S2,West 2,890
