LSOAN05CD,LSOAN05NM,FID
95GG45S1,Upper Malone 1,189
95GG45S2,Upper Malone 2,190
95GG45S3,Upper Malone 3,191
95GG46S1,Upper Springfield 1,192
95GG46S2,Upper Springfield 2,193
95GG46S3,Upper Springfield 3,194
95GG47S1,Water Works 1,195
95GG47S2,Water Works 2,196
95GG47S3,Water Works 3,197
95GG48S1,Whiterock 1,198
95GG48S2,Whiterock 2,199
95GG48S3,Whiterock 3,200
95II13W1,Graham's Bridge,201
95II14W1,Hillfoot,202
95II15S1,Knockbracken 1,203
95II15S2,Knockbracken 2,204
95II16W1,Lisnasharragh,205
95II17W1,Lower Braniel,206
95II18W1,Minnowburn,207
95II19S1,Moneyreagh 1,208
95II19S2,Moneyreagh 2,209
95II20W1,Newtownbreda,210
95II21W1,Tullycarnet,211
95II22W1,Upper Braniel,212
95II23W1,Wynchurch,213
95JJ01W1,Agivey,214
95JJ02W1,Atlantic,215
95JJ03S1,Ballysally 1,216
95JJ03S2,Ballysally 2,217
95JJ04S1,Castlerock 1,218
95JJ04S2,Castlerock 2,219
95JJ05W1,Central Coleraine,220
95JJ06W1,Churchland,221
95JJ07W1,Cross Glebe,222
95JJ08S1,Dundooan 1,223
95JJ08S2,Dundooan 2,224
95JJ09W1,Dunluce,225
95JJ10W1,Garvagh,226
95JJ11S1,Hopefield 1,227
95FF08W1,Fort,228
95JJ11S2,Hopefield 2,229
95JJ12W1,Kilrea,230
95JJ13S1,Knocklynn 1,231
95JJ13S2,Knocklynn 2,232
95JJ14W1,Macosquin,233
95JJ15W1,Mount Sandel,234
95JJ16W1,Portstewart,235
95JJ17W1,Ringsend,236
95JJ18W1,Royal Portrush,237
95JJ19S1,Strand 1 Coleraine,238
95JJ19S2,Strand 2 Coleraine,239
95JJ20S1,The Cuts 1,240
95JJ20S2,The Cuts 2,241
95JJ21W1,University,242
95JJ22W1,Waterside,243
95KK01W1,Ardboe,244
95KK02W1,Coagh,245
95KK03W1,Dunnamore,246
95KK04W1,Gortalowry,247
95KK05W1,Killycolpy,248
95KK06W1,Killymoon,249
95KK07W1,Lissan,250
95KK08W1,Moneymore,251
95DD04W1,Ballee,252
95GG49S1,Windsor 1,253
95FF09W1,Gilford,254
95GG49S2,Windsor 2,255
95DD05W1,Ballykeel,256
95FF10W1,Gransha,257
95GG49S3,Windsor 3,258
95DD06W1,Ballyloughan,259
95FF11W1,Katesbridge,260
95GG49S4,Windsor 4,261
95DD07S1,Broughshane 1,262
95FF12W1,Lawrencetown,263
95GG50S1,Woodstock 1,264
95DD07S2,Broughshane 2,265
95FF13W1,Loughbrickland,266
95GG50S2,Woodstock 2,267
95DD08W1,Castle Demesne,268
95FF14W1,Quilly,269
95GG50S3,Woodstock 3,270
95DD09W1,Craigywarren,271
95FF15W1,Rathfriland,272
95GG51S1,Woodvale 1,273
95DD10W1,Cullybackey,274
95FF16W1,Seapatrick,275
95GG51S2,Woodvale 2,276
95DD11W1,Dunclug,277
95FF17W1,The Cut,278
95GG51S3,Woodvale 3,279
95DD12W1,Dunminning,280
95GG01S1,Andersonstown 1,281
95HH01W1,Blackhead,282
95DD13W1,Fair Green,283
95GG01S2,Andersonstown 2,284
95HH02S1,Bluefield 1,285
95DD14S1,Galgorm 1,286
95GG01S3,Andersonstown 3,287
95HH02S2,Bluefield 2,288
95DD14S2,Galgorm 2,289
95GG02S1,Ardoyne 1,290
95HH03W1,Boneybefore,291
95DD15W1,Glenravel,292
95GG02S2,Ardoyne 2,293
95HH04S1,Burleigh Hill 1,294
95DD16W1,Glenwhirry,295
95GG02S3,Ardoyne 3,296
95HH04S2,Burleigh Hill 2,297
95DD17W1,Grange,298
95GG03S1,Ballyhackamore 1,299
95HH05W1,Clipperstown,300
95DD18W1,Harryville,301
95GG03S2,Ballyhackamore 2,302
95HH06S1,Eden 1,303
95DD19S1,Kells 1,304
95GG03S3,Ballyhackamore 3,305
95HH06S2,Eden 2,306
95DD19S2,Kells 2,307
95GG04S1,Ballymacarrett 1,308
95HH07W1,Gortalee,309
95DD20W1,Moat,310
95GG04S2,Ballymacarrett 2,311
95HH08W1,Greenisland,312
95DD21W1,Park,313
95GG04S3,Ballymacarrett 3,314
95HH09W1,Killycrot,315
95DD22S1,Portglenone 1,316
95GG05S1,Ballynafeigh 1,317
95HH10W1,Knockagh,318
95DD22S2,Portglenone 2,319
95GG05S2,Ballynafeigh 2,320
95HH11W1,Love Lane,321
95DD23W1,Slemish,322
95GG05S3,Ballynafeigh 3,323
95HH12W1,Milebush,324
95DD24W1,Summerfield,325
95GG06S1,Ballysillan 1,326
95HH13W1,Northland,327
95EE01W1,Ballyhoe and Corkey,328
95GG06S2,Ballysillan 2,329
95HH14W1,Sunnylands,330
95EE02W1,Benvardin,331
95GG06S3,Ballysillan 3,332
95HH15W1,Victoria Carrickfergus,333
95EE03W1,Carnany,334
95GG07S1,Beechmount 1,335
95HH16W1,Whitehead,336
95EE04W1,Clogh Mills,337
95GG07S2,Beechmount 2,338
95HH17W1,Woodburn,339
95EE05W1,Dervock,340
95GG07S3,Beechmount 3,341
95II01S1,Ballyhanwood 1,342
95EE06W1,Dunloy,343
95GG08S1,Bellevue 1,344
95II01S2,Ballyhanwood 2,345
95II02S1,Beechill 1,346
95II02S2,Beechill 2,347
95II02S3,Beechill 3,348
95II03S1,Cairnshill 1,349
95II03S2,Cairnshill 2,350
95II04S1,Carrowreagh 1,351
95II04S2,Carrowreagh 2,352
95II05S1,Carryduff East 1,353
95II05S2,Carryduff East 2,354
95II06S1,Carryduff West 1,355
95II06S2,Carryduff West 2,356
95II07W1,Cregagh,357
95II08W1,Downshire,358
95II09S1,Dundonald 1,359
95II09S2,Dundonald 2,360
95II10W1,Enler,361
95II11W1,Galwally,362
95II12W1,Gilnahirk,363
95GG08S2,Bellevue 2,364
95GG08S3,Bellevue 3,365
95GG09S1,Belmont 1,366
95GG09S2,Belmont 2,367
95GG09S3,Belmont 3,368
95GG10S1,Blackstaff 1,369
95GG10S2,Blackstaff 2,370
95GG11S1,Bloomfield 1 Belfast,371
95GG11S2,Bloomfield 2 Belfast,372
95GG11S3,Bloomfield 3 Belfast,373
95GG12S1,Botanic 1,374
95GG12S2,Botanic 2,375
95GG12S3,Botanic 3,376
95GG12S4,Botanic 4,377
95GG12S5,Botanic 5,378
95GG13S1,Castleview 1,379
95GG13S2,Castleview 2,380
95GG13S3,Castleview 3,381
95EE07W1,Fairhill,382
95EE08W1,Glebe,383
95EE09W1,Killoquin Lower,384
95EE10W1,Killoquin Upper,385
95EE11W1,Knockaholet,386
95EE12W1,Newhill,387
95EE13W1,Route,388
95EE14W1,Seacon,389
95EE15W1,Stranocum,390
95EE16W1,The Vow,391
95FF01S1,Ballydown 1,392
95FF01S2,Ballydown 2,393
95FF02W1,Ballyward,394
95FF03W1,Banbridge West,395
95FF04W1,Bannside,396
95FF05W1,Dromore North,397
95FF06S1,Dromore South 1,398
95FF06S2,Dromore South 2,399
95FF07W1,Edenderry,400
95SS11S2,Glenavy 2,401
95SS12W1,Harmony Hill,402
95SS13S1,Hilden 1,403
95QQ09W1,Gardenmore,404
95SS13S2,Hilden 2,405
95SS14S1,Hillhall 1,406
95SS14S2,Hillhall 2,407
95LL26S1,Woodville 1,408
95QQ10W1,Glenarm,409
95SS15S1,Hillsborough 1,410
95QQ11W1,Glynn,411
95KK09W1,Newbuildings,412
95LL26S2,Woodville 2,413
95SS15S2,Hillsborough 2,414
95QQ12W1,Harbour,415
95KK10W1,Oaklands,416
95MM01S1,Altnagelvin 1,417
95SS16S1,Kilwee 1,418
95QQ13W1,Island Magee,419
95KK11W1,Oldtown,420
95MM01S2,Altnagelvin 2,421
95SS16S2,Kilwee 2,422
95QQ14S1,Kilwaughter 1,423
95KK12W1,Pomeroy,424
95MM01S3,Altnagelvin 3,425
95SS17S1,Knockmore 1,426
95QQ14S2,Kilwaughter 2,427
95KK13W1,Sandholes,428
95MM02S1,Ballynashallog 1,429
95SS17S2,Knockmore 2,430
95QQ15W1,Town Parks,431
95KK14W1,Stewartstown,432
95MM02S2,Ballynashallog 2,433
95SS18S1,Lagan Valley 1,434
95RR01S1,Aghanloo 1,435
95KK15W1,The Loop,436
95MM03W1,Banagher,437
95SS18S2,Lagan Valley 2,438
95RR01S2,Aghanloo 2,439
95KK16W1,Tullagh,440
95MM04W1,Beechwood,441
95SS19S1,Lambeg 1,442
95RR02W1,Ballykelly,443
95LL01S1,Aghagallon 1,444
95MM05W1,Brandywell,445
95SS19S2,Lambeg 2,446
95RR03W1,Coolessan,447
95LL01S2,Aghagallon 2,448
95MM06S1,Carn Hill 1,449
95SS20W1,Lisnagarvey,450
95RR04W1,Dungiven,451
95LL02S1,Annagh 1,452
