TTWA11CD,TTWA11NM,FID
E30000245,Newcastle,160
E30000246,Northallerton,161
E30000247,Northampton,162
E30000248,Norwich,163
E30000249,Nottingham,164
E30000250,Oxford,165
E30000252,Penzance,166
E30000253,Plymouth,167
E30000254,Portsmouth,168
E30000255,Preston,169
E30000256,Reading,170
E30000257,Redruth and Truro,171
E30000258,Salisbury,172
E30000259,Scarborough,173
E30000260,Scunthorpe,174
E30000261,Sheffield,175
E30000262,Shrewsbury,176
E30000263,Sidmouth,177
E30000264,Skegness and Louth,178
E30000266,Slough and Heathrow,179
E30000267,Southampton,180
E30000268,Southend,181
E30000270,St Austell and Newquay,182
E30000271,Stafford,183
E30000272,Stevenage and Welwyn Garden City,184
E30000273,Stoke-on-Trent,185
E30000274,Street and Wells,186
E30000275,Sunderland,187
E30000276,Swindon,188
E30000277,Taunton,189
E30000278,Telford,190
E30000279,Torquay and Paignton,191
E30000280,Trowbridge,192
E30000281,Tunbridge Wells,193
E30000282,Wadebridge,194
E30000283,Wakefield and Castleford,195
E30000284,Warrington and Wigan,196
E30000285,Weston-super-Mare,197
E30000286,Whitehaven,198
E30000287,Wisbech,199
E30000288,Wolverhampton and Walsall,200
E30000289,Worcester and Kidderminster,201
E30000290,Workington,202
E30000291,Worksop and Retford,203
E30000292,Worthing,204
E30000293,Yeovil,205
E30000294,York,206
K01000005,Cinderford and Ross-on-Wye,207
K01000009,Berwick,208
K01000010,Carlisle,209
K01000011,Chester,210
K01000013,Newport,211
K01000014,Oswestry,212
N12000001,Ballymena,213
N12000002,Belfast,214
N12000003,Coleraine,215
N12000004,Cookstown and Magherafelt,216
N12000005,Craigavon,217
N12000006,Derry,218
N12000007,Dungannon,219
N12000008,Enniskillen,220
N12000009,Newry and Banbridge,221
N12000010,Omagh and Strabane,222
S22000005,Campbeltown,223
S22000013,Western Isles,224
S22000032,Mull and Islay,225
S22000035,Orkney Islands,226
S22000039,Shetland Islands,227
S22000047,Aberdeen,228
