TTWA11CD,TTWA11NM,FID
E30000004,Barnsley,1
S22000048,Alness and Invergordon,2
E30000018,Bradford,3
E30000029,Halifax,4
E30000039,Skipton,5
E30000046,Dorchester and Weymouth,6
S22000049,Arbroath and Montrose,7
S22000050,Aviemore and Grantown-on-Spey,8
E30000051,Falmouth,9
E30000054,Grantham,10
S22000051,Ayr,11
S22000052,Broadford and Kyle of Lochalsh,12
E30000061,Hastings,13
E30000064,Hexham,14
S22000053,Dalbeattie and Castle Douglas,15
S22000054,Dumbarton and Helensburgh,16
E30000070,Isle of Wight,17
E30000076,Lancaster and Morecambe,18
S22000055,Dumfries,19
S22000056,Dundee,20
E30000093,Middlesbrough and Stockton,21
E30000095,Minehead,22
S22000057,Dunfermline and Kirkcaldy,23
E30000106,Penrith,24
E30000108,Peterborough,25
S22000058,Dunoon and Rothesay,26
S22000059,Edinburgh,27
E30000110,Poole,28
E30000124,Spalding,29
S22000060,Elgin,30
S22000061,Falkirk and Stirling,31
E30000135,Thetford and Mildenhall,32
E30000147,Whitby,33
S22000062,Fort William,34
S22000063,Galashiels and Peebles,35
E30000159,Andover,36
E30000160,Ashford,37
S22000064,Girvan,38
S22000065,Glasgow,39
E30000161,Banbury,40
E30000162,Barnstaple,41
S22000066,Golspie and Brora,42
S22000067,Hawick and Kelso,43
E30000163,Barrow-in-Furness,44
E30000164,Basingstoke,45
S22000068,Inverness,46
S22000069,Kilmarnock and Irvine,47
E30000165,Bath,48
E30000166,Bedford,49
S22000070,Livingston,50
S22000071,Motherwell and Airdrie,51
E30000167,Bideford,52
E30000168,Birkenhead,53
S22000072,Newton Stewart,54
S22000073,Oban,55
E30000169,Birmingham,56
E30000170,Blackburn,57
S22000074,Perth,58
S22000075,Peterhead,59
E30000171,Blackpool,60
E30000172,Blandford Forum and Gillingham,61
S22000076,Pitlochry and Aberfeldy,62
S22000077,Portree,63
E30000173,Blyth and Ashington,64
E30000174,Boston,65
S22000078,St Andrews and Cupar,66
S22000079,Stranraer,67
E30000175,Bournemouth,68
S22000080,Thurso,69
S22000081,Turriff and Banff,70
E30000176,Bridgwater,71
E30000177,Bridlington,72
S22000082,Ullapool,73
S22000083,Wick,74
E30000178,Bridport,75
E30000179,Brighton,76
S22000084,Fraserburgh,77
S22000085,Greenock,78
E30000180,Bristol,79
E30000181,Bude,80
S22000086,Lochgilphead,81
W22000003,Bridgend,82
E30000182,Burnley,83
E30000183,Burton upon Trent,84
W22000009,Haverfordwest and Milford Haven,85
W22000011,Llandrindod Wells and Builth Wells,86
E30000184,Bury St Edmunds,87
E30000185,Buxton,88
W22000015,Newtown and Welshpool,89
E30000186,Cambridge,90
E30000187,Canterbury,91
W22000016,Pembroke and Tenby,92
W22000021,Aberystwyth,93
E30000188,Chelmsford,94
E30000189,Cheltenham,95
W22000022,Bangor and Holyhead,96
W22000023,Brecon,97
E30000190,Chesterfield,98
E30000191,Chichester and Bognor Regis,99
W22000024,Cardiff,100
W22000025,Cardigan,101
E30000192,Clacton,102
E30000193,Colchester,103
W22000026,Colwyn Bay,104
E30000194,Corby,105
E30000195,Coventry,106
E30000196,Crawley,107
E30000197,Crewe,108
W22000028,Llanelli,109
W22000029,Merthyr Tydfil,110
W22000030,Pwllheli and Porthmadog,111
W22000031,Rhyl,112
W22000032,Swansea,113
E30000198,Cromer and Sheringham,114
W22000033,Tywyn and Dolgellau,115
E30000199,Darlington,116
W22000034,Wrexham,117
E30000200,Derby,118
E30000201,Doncaster,119
E30000202,Dudley,120
E30000203,Durham and Bishop Auckland,121
E30000204,Eastbourne,122
E30000205,Evesham,123
E30000206,Exeter,124
E30000208,Folkestone and Dover,125
E30000209,Gloucester,126
E30000210,Great Yarmouth,127
E30000211,Grimsby,128
E30000212,Guildford and Aldershot,129
E30000214,Harrogate,130
E30000215,Hartlepool,131
E30000216,Hereford,132
E30000218,High Wycombe and Aylesbury,133
E30000219,Huddersfield,134
E30000220,Hull,135
E30000221,Huntingdon,136
E30000222,Ipswich,137
E30000223,Kendal,138
E30000224,Kettering and Wellingborough,139
E30000225,King's Lynn,140
E30000226,Kingsbridge and Dartmouth,141
E30000227,Launceston,142
E30000228,Leamington Spa,143
E30000229,Leeds,144
E30000230,Leicester,145
E30000231,Lincoln,146
E30000232,Liskeard,147
E30000233,Liverpool,148
E30000234,London,149
E30000235,Lowestoft,150
E30000236,Ludlow,151
E30000237,Luton,152
E30000238,Malton,153
E30000239,Manchester,154
E30000240,Mansfield,155
E30000241,Margate and Ramsgate,156
E30000242,Medway,157
E30000243,Milton Keynes,158
E30000244,Newbury,159
